PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
2ymd,12,243,0,20,25,0,90,120,5,1,27,4,0,1,0,4,-176.5148309,5.834069942,-1.114506557,-36.70618019,-0.255752243,193.1209764,-28.08373344,6.089962046,-4.37
3u9q,5,136,2,0,2,116,0,21,0,4,21,0,0,0,2,8,-2.310347935,3.011439429,-3.291731201,-43.06309617,0,3.182638825,-34.11650389,3.769706478,-9.16
2zx6,15,329,0,1,5,14,114,210,4,3,30,1,0,0,2,7,-104.4501206,2.694402543,-3.781443041,-33.3190245,-2.385275905,84.48689582,-46.79211062,10.2096833,-14.64
3f3e,9,169,51,0,17,87,0,23,4,2,12,0,0,0,0,4,-13.18018766,1.23849731,-1.495137561,-23.9756047,0,35.32014906,-23.30193079,1.757384748,-10.64
3myg,9,324,0,17,21,2,183,110,1,4,27,0,0,0,0,9,-29.02791879,0.433224737,-3.039909812,-37.66306854,-0.005537314,20.86551727,-56.02349335,3.543457346,-14.78
2w66,13,263,0,0,14,20,68,174,5,2,23,0,0,0,2,6,-79.61719977,4.674993992,-4.799806645,-23.31948272,0,78.04339827,-33.66602703,13.82567466,-5.6
2fvd,12,407,0,22,17,20,246,114,1,3,27,0,0,0,0,7,-7.955332477,1.009958351,-2.945129217,-31.93776502,-0.263703628,-4.533756087,-64.00627531,3.656119045,-9.44
1jyq,38,592,0,35,32,73,194,296,5,27,34,2,0,0,4,20,-339.44604,6.578685808,-30.68828181,-27.734911,-2.213349696,278.1932005,-32.90625474,11.62969395,-12.02
1f8d,23,322,0,0,1,0,177,167,4,9,15,0,0,0,4,9,-59.74940418,7.061826846,-16.97079304,-16.95041526,0,55.42998907,-27.84831521,9.219121066,-4.7
3nw9,18,430,0,4,33,21,37,353,4,5,36,0,0,4,0,10,-52.63497705,2.160524207,-4.673934505,-46.43763424,-2.028697663,61.82961173,-74.03653134,13.1434897,-12.43
2xb8,15,299,0,4,46,0,50,214,4,6,41,0,1,0,0,7,-42.50299622,-0.461653601,-5.784096573,-38.2476292,-2.488917058,32.83481651,-45.92887643,6.541583294,-10.49
1xd0,31,451,0,0,30,0,71,381,6,7,16,0,0,0,0,28,-56.38045686,2.566768279,-6.124965415,-58.17942816,0,88.50430436,-74.08042149,25.74117703,-9.84
2d3u,8,304,3,0,15,226,0,68,0,7,35,0,2,0,0,5,-80.07582822,0.105491095,-3.110144701,-41.69676577,-3.668305686,72.15884098,-50.499444,4.147960601,-9.56
3uex,4,190,0,0,2,0,172,20,0,1,38,0,0,0,2,16,77.31663669,2.70786906,-4.090079814,-81.52569838,0,-58.08324014,-48.77948612,2.416056897,-9.56
2wbg,18,272,0,0,0,33,72,185,1,5,26,0,0,0,0,11,-56.49506731,5.068614058,-3.447242285,-31.41052167,0,51.9827254,-45.66986518,14.60531439,-6.15
1os0,16,271,0,6,0,63,64,154,2,8,29,1,0,1,4,13,42.41074577,4.562642753,-6.595903058,-34.20998505,-1.108807685,-23.06419728,-44.61789202,10.95656531,-8.33
2iwx,10,290,6,5,0,111,86,92,2,4,14,0,0,0,0,2,-45.43291827,-0.178140975,-2.299765434,-36.21226705,-0.689805361,19.06042544,-45.7046426,3.871685133,-9.23
3bpc,30,292,0,0,16,0,108,198,4,15,5,0,0,0,1,15,-151.4920829,1.335835218,-14.93832498,-10.48472084,0,111.7388865,-14.51868482,12.63362128,-6.63
1o5b,11,200,0,9,40,0,20,142,4,0,6,0,0,0,0,2,-199.6972096,2.195890323,-2.420434039,-24.67322582,-2.01E-05,198.1364641,-30.5073998,3.173885785,-7.97
2qmj,35,443,0,0,2,75,135,266,7,8,13,0,0,0,3,22,-223.3645502,9.729326671,-8.101615619,-43.97434386,0,183.5131751,-46.17680078,16.45301686,-5.82
2x8z,11,165,0,1,0,108,1,66,0,6,14,0,0,0,3,3,349.9004357,1.730237482,-8.800891332,-16.2956898,0,-301.6294352,-20.84190522,2.64104311,-11
3zsx,11,212,10,0,35,102,6,70,1,4,24,0,0,0,1,10,-48.5440426,1.508984598,-4.141070645,-29.8909349,-0.735981883,44.44095822,-44.59198292,8.511818392,-4.53
3b3s,7,127,0,0,6,0,7,121,2,1,13,0,0,0,0,4,17.89851606,-0.549380081,-1.539361561,-19.44845575,0,22.50869501,-16.7890829,1.499786572,-3.52
2pq9,42,507,18,0,6,294,0,231,1,28,23,0,0,0,11,10,-238.8050249,4.865622723,-44.20702284,-17.04967888,0,239.1458088,-16.06408041,9.987345453,-11.2
1w3l,49,472,0,0,18,1,83,419,10,13,18,1,0,0,2,20,-125.3743366,2.743485504,-10.15132537,-23.62370999,0,58.13166222,-30.99007994,17.97340263,-8.68
3cyx,12,462,0,37,34,0,170,233,6,5,43,0,0,0,2,14,-25.18603979,5.356544883,-5.426885271,-77.9706147,-0.101707668,19.08171364,-99.47898153,10.06483901,-11.05
3jvs,5,263,0,0,55,4,0,209,1,2,39,0,1,0,0,5,-24.71975427,0.100049844,-1.065849138,-26.79116835,-0.565525424,11.33017169,-43.51187991,6.872550198,-9.04
3f80,12,215,0,0,7,7,17,196,3,4,13,0,0,0,3,7,-1.194637138,1.164060898,-2.791831598,-11.0803836,0,61.54309008,-21.07540516,2.414364296,-5.83
3gcs,5,408,0,15,15,88,172,123,3,1,39,1,0,0,0,6,-19.10049368,0.467102509,-2.319681568,-48.26720932,-0.910529698,19.57272806,-68.8732374,3.452755651,-10.02
1lor,23,318,0,12,11,6,120,192,3,11,6,0,0,0,1,7,-41.89149851,5.283755486,-14.49513153,-10.71165173,0,40.10736812,-11.39289701,8.003117292,-15.28
2jdu,8,132,0,4,21,0,3,112,1,3,6,0,0,0,0,4,-27.8032885,-0.47205159,-2.646037455,-7.108341233,0,48.67172331,-17.90522533,1.540149712,-9.28
2zcr,17,309,4,0,0,196,0,126,0,11,29,0,0,0,7,10,56.41160197,11.74032946,-13.43955613,-47.02375561,-0.376378628,3.507866899,-27.09621698,10.66179892,-9.49
2y5h,5,264,0,29,14,0,58,168,1,3,32,2,0,0,0,6,-167.8908805,3.335414007,-1.049082696,-55.28787981,-0.002325116,198.7100222,-63.78461179,4.383034202,-8
3d4z,17,227,0,0,11,6,10,217,5,2,11,0,0,0,0,5,-62.26468284,3.159995584,-4.411089073,-16.62426068,-0.602178196,20.28779059,-20.42167034,8.084651284,-6.76
3udh,9,170,0,0,14,0,67,98,3,2,20,1,1,0,2,0,-112.2643646,1.022702531,-2.40498208,-20.71748559,-0.92358934,92.73249393,-26.54560463,1.086936015,-3.94
1sln,13,299,6,15,43,65,67,116,5,4,31,0,1,1,5,14,-124.01984,2.90156495,-2.295809864,-39.71275089,-1.665429235,137.2895522,-54.30359438,12.26154164,-9.17
3i3b,15,225,0,0,0,0,93,147,4,4,16,0,0,0,0,5,-43.41428128,0.929375166,-3.684842299,-15.6848287,0,66.26335189,-16.44034724,3.907297261,-3.08
3imc,3,159,9,2,20,22,13,96,0,1,19,1,0,1,0,1,-4.517857139,0.433270208,-0.405670119,-18.54202536,-1.388526755,5.231985093,-30.93261389,0.571388155,-4.09
2vl4,15,190,0,0,0,17,90,98,6,2,20,2,0,0,2,5,-68.37251822,2.968799263,-6.038453348,-17.34441525,0,24.37009525,-21.68304122,4.846583895,-8.3
3su3,16,462,0,18,40,0,153,267,2,7,38,0,0,0,0,7,-44.81144107,0.067305965,-2.977785718,-54.72746551,-1.692448327,22.10215326,-82.90339546,16.30729259,-12.61
3gy4,11,201,0,8,51,0,21,132,6,0,13,0,0,0,0,3,-214.9747378,2.026488939,-9.071459541,-11.60145752,-0.562876957,219.9445582,-23.65712915,2.68913597,-7.05
2cbj,13,273,7,0,17,21,82,159,6,3,21,0,0,0,0,8,-44.89642522,2.200341517,-4.596212892,-26.53768623,-1.580903764,39.61527568,-50.32280842,9.405801765,-11.43
2obf,11,303,11,0,5,101,72,125,4,0,50,1,1,0,2,5,-77.01956181,-1.860124732,-1.962173923,-45.252545,-5.19956499,76.21975872,-54.4416559,9.183473229,-12.23
2yki,9,411,36,0,0,196,137,51,2,4,47,0,3,1,0,3,-46.55157082,1.546078354,-2.202105241,-54.50518944,-3.47158141,28.51593395,-69.49949629,5.806748559,-13.07
2v7a,6,325,0,32,21,3,198,77,2,5,33,0,0,0,1,6,-50.74812112,0.456380403,-1.980214593,-42.063733,-0.000194334,34.89832282,-58.69230941,2.53321942,-11.47
3nox,6,245,2,0,0,69,14,166,3,1,19,2,1,1,3,4,-127.2031667,3.670536317,-2.433158688,-38.2626933,-2.305403081,123.7045852,-46.96408936,4.329035953,-11.96
1w4o,18,264,0,32,0,48,133,69,2,12,7,0,0,0,4,6,-122.5770776,-0.00734655,-14.8549442,-6.358217661,-2.30E-07,94.439001,-31.0781081,6.96253901,-7.21
2xy9,27,388,4,12,0,175,55,169,5,7,29,0,0,0,9,16,20.519155,5.701257665,-8.996269978,-37.69911762,-1.348749641,84.72184207,-49.28197682,16.14798765,-12.7
3g2z,6,146,0,19,0,16,36,81,1,7,2,0,0,0,0,1,-37.28051768,1.839895703,-1.67299126,-6.02875591,-9.36E-07,22.62155902,-24.19910635,0.634868631,-3.26
2zjw,19,316,0,0,7,2,200,126,4,4,23,0,0,0,0,4,-46.07215307,0.113965973,-3.283862412,-29.24119366,-0.219804077,21.91036842,-36.23525595,2.495087182,-10.64
3ehy,8,214,2,8,23,55,27,107,1,4,18,0,0,0,5,5,92.96934534,1.80731403,-1.697083122,-20.29905651,-0.366543472,-38.25340117,-32.8804801,5.768150861,-8.08
1q8u,3,211,0,14,4,5,128,63,1,1,26,0,0,0,1,2,22.75954804,0.14174096,-1.087274941,-41.58489492,-0.001649112,-10.51033234,-49.99733827,1.289091776,-8.28
3g0w,4,266,15,0,1,217,0,37,1,0,18,0,0,1,0,3,-19.54564047,0.515827507,-0.673582319,-64.6622456,-0.550930129,19.02190367,-55.95163426,4.074172632,-13.15
3ge7,12,373,0,7,21,91,186,80,7,2,39,0,2,0,2,7,-32.16195025,4.832200517,-8.341386421,-41.80113461,-5.923194608,31.38152831,-63.70349599,6.190002726,-12.02
1oyt,13,367,0,38,31,0,64,247,5,1,40,0,0,0,0,5,-239.8502237,4.524695966,-8.067324935,-40.5029199,-0.264656884,258.2459284,-57.35107378,7.395940101,-10
2weg,10,174,0,0,18,8,51,107,2,1,10,0,0,0,0,2,3.050178593,0.413351807,-2.233449707,-9.86006862,-0.176377137,-15.63370238,-21.96591709,0.716271248,-8.98
1lbk,29,313,0,16,9,40,30,247,4,12,8,0,0,0,4,11,-32.40282781,2.477252227,-7.47950003,-14.05318027,0,-0.801691893,-26.23873912,4.22769347,-4.39
3bfu,16,261,3,19,2,66,87,100,3,10,14,1,0,0,2,4,-53.54735966,1.318377639,-5.261027312,-23.08072237,-0.140681239,18.17672679,-25.71538778,2.141864734,-8.66
1igj,3,206,0,0,15,0,115,79,1,0,26,0,0,0,0,7,-17.22444622,3.91271523,-0.46724499,-68.87849973,0,24.9055912,-49.92149695,4.698064111,-13.82
3ebp,10,274,5,0,9,56,0,214,3,3,55,0,4,0,0,5,-21.23504985,3.860414379,-1.39923296,-38.02544554,-7.48994491,11.98297291,-44.29899909,6.278384498,-8.16
3cft,3,123,0,10,0,0,105,11,0,1,16,0,0,0,1,2,-9.657661523,0.061116792,-0.96915761,-10.21065392,0,11.08445764,-18.27408266,0.179799842,-5.79
3fv1,24,364,9,24,5,96,164,90,5,9,26,0,0,0,4,7,-52.23889956,1.721281439,-9.244696192,-37.44784807,0,19.50684377,-33.2586919,7.252169343,-12.85
2pww,18,501,0,4,44,0,137,334,7,6,41,0,0,1,2,14,-189.8105244,2.694160745,-5.580056414,-54.71207458,-0.182153661,179.7086923,-77.74874805,30.97315935,-10.11
2hb1,12,204,9,0,5,45,5,152,0,10,16,0,0,0,3,4,-114.9574489,0.570752032,-10.82937898,-22.45436063,-0.399931188,109.1616723,-26.71777806,0.884560987,-5.25