"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"1ejn",6,166,0,20,80,0,2,70,4,2,21,0,0,0,1,4,-228.1,3.1,-8.71,-38.13,-0.13,265.57,-50.83,5.02,-7.764316934
"1elc",1,159,0,13,31,0,21,95,1,0,32,0,0,0,1,14,-82.02,13,-1.06,-45.13,-0.09,115.47,-55.01,20.15,-9.201130032
"1eld",2,118,0,24,29,0,17,50,2,1,11,0,0,0,0,9,-15.11,3.48,-0.91,-29.52,-0.42,39.47,-49.57,12.51,-9.256392074
"1ele",4,133,0,29,15,0,21,72,2,1,11,0,0,0,0,8,-24.24,0.91,-1,-27.04,-0.44,28.77,-44.13,4.92,-9.463624732
"1elr",12,173,2,0,0,183,0,0,2,10,26,0,0,0,3,22,-289.55,-0.31,-21.11,-20.35,0,248.67,-63.94,13.79,-6.852493237
"1ent",5,146,0,4,48,0,28,71,3,3,25,0,0,0,0,19,72.07,1.72,-2.7,-55.31,-0.06,15.62,-82.31,14.41,-9.615595348
"1epo",9,184,0,3,50,7,52,81,4,2,25,0,0,0,0,17,-60.14,5.31,-4.67,-58.13,0,95.42,-83.42,14.01,-10.9971464
"1erb",0,58,0,0,12,0,25,21,0,1,26,0,0,0,0,6,-4.19,1.73,-0.06,-88.82,0,26.97,-61.66,3.41,-11.19056355
"1ew8",7,83,3,1,0,28,7,51,0,2,7,0,0,0,6,2,222.95,3.27,-6.05,-2.29,0,-122.73,-8.81,3.62,-3.122305386
"1ew9",1,41,1,1,0,16,1,23,0,0,3,0,0,0,3,1,98,1.9,-4.6,-1.3,0,-73.95,-4.24,2.61,-4.4485944
"1ex8",23,309,0,29,37,9,73,184,6,14,29,0,4,0,6,17,-97.43,17.76,-31.35,-17.89,-6.81,87.18,-75.98,23.73,-8.745218183
"1ez9",5,119,1,0,5,43,14,61,5,1,23,0,0,0,0,29,-74.88,0.86,-7.52,-43.88,0,68.18,-65.81,19.41,-7.045910385
"1ezq",5,194,0,4,95,0,5,95,4,1,55,0,2,1,0,12,-249.3,1.73,-8.01,-45.77,-2.66,292.1,-58.19,9.36,-12.50303705
"1f0r",2,131,0,29,36,0,11,57,2,1,43,0,2,1,0,6,-53.28,6.44,-2.86,-42.27,-6.81,90.96,-54.19,6.96,-10.58268109
"1f0s",2,123,0,18,38,0,14,55,0,1,50,0,2,1,0,5,-55.94,5.31,-0.61,-40.5,-7.36,99.39,-52.14,6.4,-10.69320517
"1f0t",5,141,0,4,70,0,4,68,4,2,21,0,0,0,0,8,-283.04,3.95,-8.46,-31.33,-0.42,279.34,-52.21,4.45,-8.289306335
"1f0u",5,159,0,4,83,0,4,73,4,1,24,0,1,0,0,12,-265.95,3.73,-8.22,-33.62,-0.73,334.42,-55.91,9.54,-9.89190556
"1f3e",8,101,0,3,20,25,18,43,2,2,20,0,2,0,0,2,-38.75,1.44,-3.89,-16.5,-3.61,40.87,-33.71,0.97,-9.256392074
"1f4x",8,103,0,19,16,0,56,20,1,4,15,0,0,0,0,9,-40.69,4.81,-2.47,-26.99,0,22.81,-31,9.47,-7.722870402
"1f5l",8,143,0,16,70,0,6,59,5,0,9,0,0,0,1,3,-200.35,1.78,-8.49,-13.63,0,190,-33.27,2.46,-7.294589575
"1f9g",1,65,0,0,0,21,0,45,0,1,1,0,0,0,0,6,-12.3,-0.19,-1.58,-9.18,0,13.65,-16.99,1.34,-1.768385351
"1fao",13,168,0,6,16,0,132,27,0,11,0,0,0,0,6,10,-476.12,2.38,-34.23,-6.57,0,475.72,-23.89,2.41,-10.18203128
"1fcy",6,95,17,5,5,53,7,14,0,3,42,0,0,1,1,3,-38.51,1.02,-5.3,-74.42,-1.89,34.94,-71.08,1.65,-11.770815
"1fdq",2,69,0,1,3,3,49,15,0,2,23,0,0,0,1,14,-18.15,4.46,-3.64,-55.97,0,39.17,-50.62,12.36,-10.04387618
"1fhd",12,157,0,0,0,0,35,134,2,5,12,0,1,1,0,7,-29.33,-0.5,-5.38,-19.62,-3.19,48.29,-41.06,12.54,-9.422178201
"1fiv",13,261,0,35,53,0,58,128,6,5,44,2,0,0,0,23,-82.59,1.43,-7.52,-85.43,-5.34,87.77,-104.66,11.33,-9.104421458
"1fj4",2,78,1,11,17,0,25,26,0,2,24,0,0,0,0,3,-20.33,1.74,-0.95,-43.82,0,10.71,-39.5,2.89,-6.341319346
"1fjs",3,178,0,29,54,0,23,75,3,1,38,0,1,2,0,11,-107.51,3.35,-8.61,-36.06,-1.05,130.77,-62.05,10.11,-13.76024852
"1fkf",3,141,0,0,20,12,52,60,1,2,35,0,0,0,0,10,-38.43,-1.48,-2.37,-56.87,0,40.37,-78.24,9.8,-12.98657992
"1fkg",2,77,0,0,6,13,30,30,0,2,29,0,0,0,0,10,-21.52,2.89,-0.53,-45.89,-0.71,18.97,-49.19,8.76,-11.05240845
"1fkh",2,77,0,0,8,10,25,36,0,2,27,0,0,0,0,10,-28.06,3.05,-1.04,-41.5,-0.76,21.29,-41.91,6.3,-11.2596411
"1fkw",6,115,0,5,6,20,9,81,3,3,21,3,1,0,0,5,-32.85,0.22,-3.67,-18.96,-4.85,25.42,-41.01,6.68,-6.976832832
"1fl3",0,80,0,1,20,0,49,10,0,0,49,0,2,2,0,7,-49.06,3.59,-2.37,-48.77,-4.93,69.3,-56.3,2.34,-9.394547179
"1fm9",6,153,19,0,1,108,11,20,1,4,65,0,1,1,2,12,37.48,-0.47,-1.75,-65.93,-2.98,-38,-73.94,23.8,-12.4339595
"1fpc",4,129,0,25,32,0,13,63,3,1,28,0,0,0,1,10,-177.88,3.63,-5.55,-42.71,-0.03,183.57,-55.9,14.6,-9.670857391
"1fq5",8,201,0,17,53,0,58,81,4,4,43,0,0,1,0,11,-58.47,0.09,-3.25,-69.83,-1.16,81.08,-97,16.91,-11.60502887
"1fv0",4,113,6,0,35,42,0,34,1,1,20,0,0,0,0,4,83.77,1.29,-2.05,-23.91,-0.47,-29.34,-49.73,2.58,-8.192597761
"1fwu",5,77,0,0,18,0,15,49,1,5,8,0,0,0,0,17,-39.14,2.66,-5.37,-12.47,0,15.52,-24.69,5.57,-5.111738906
"1fwv",5,82,0,0,19,0,19,49,1,4,6,0,0,0,0,17,-15.19,-2.13,-4.57,-12.58,0,17.76,-31.17,8.98,-5.139369928
"1fzq",15,202,30,3,23,57,1,103,2,10,16,0,0,0,1,9,-108.13,1.93,-18.35,-6.44,-0.01,96.35,-47.81,4.08,-10.52741905
"1g1d",6,86,0,0,3,4,47,38,0,2,14,0,0,0,1,5,-6.12,1.53,-2.64,-19.52,-0.7,-2.37,-30.98,3.05,-13.04184197
"1g2k",5,174,0,14,45,0,55,65,2,3,38,0,0,0,0,13,6.17,4.08,-3.14,-59.72,-0.66,14.35,-92.76,9.21,-10.9971464
"1g2l",4,179,0,11,72,5,5,90,4,1,56,0,1,3,0,13,-185.8,3.33,-8.32,-43.34,-2.51,200.77,-64.68,6.83,-10.00242964
"1g2o",6,155,2,37,0,18,50,54,4,1,18,0,0,1,0,5,-97.97,5.74,-2.35,-30.42,-0.51,84.41,-43.22,4.57,-14.57536364
"1g30",3,152,0,32,35,0,22,66,3,1,52,0,0,4,0,13,-138.09,1.02,-7.92,-43.27,-0.72,135.22,-57.78,13.07,-9.463624732
"1g32",3,146,0,28,35,0,22,64,3,1,48,0,0,4,0,7,-128.27,2.56,-7.6,-37.81,-0.71,141.02,-57.97,8.89,-8.441276951
"1g35",6,184,0,16,46,0,58,70,2,3,41,0,0,0,0,16,6.94,5.09,-4.18,-62.49,-0.4,16.06,-91.57,11.62,-11.24582559
"1g36",5,132,0,26,37,0,21,53,4,0,26,0,0,2,0,7,-217.68,1.56,-8.03,-28.9,-2.07,243.6,-50.71,7.01,-9.90572107
"1g3b",7,112,0,8,42,0,6,63,4,0,10,0,0,0,1,6,-145.27,1.68,-9.19,-13.83,0,182.45,-36.08,-2.75,-7.93010306
"1g3c",7,115,0,9,47,0,3,63,3,0,14,0,0,0,1,6,-124.16,4.38,-9.07,-15.37,-0.54,147.69,-29.76,4.82,-8.012996124
"1g3d",7,99,0,10,38,0,5,53,2,0,15,0,0,0,0,6,-149.15,6.48,-7.48,-13.96,0,167.08,-31.14,5.35,-7.66760836
"1g3e",7,113,0,8,44,0,6,62,3,0,19,0,0,0,0,6,-121.78,6.65,-9.57,-14.2,0,149.41,-29.2,8.14,-7.43274468
"1g45",6,82,0,0,3,0,48,37,0,2,14,0,0,0,1,5,-9.22,2.15,-2.71,-16.73,-0.29,-3.42,-29.77,3.24,-11.93660112
"1g46",7,82,0,0,5,1,43,40,0,1,16,0,0,0,1,5,-2.74,1.32,-2.45,-18.38,-0.38,-3.12,-28.65,2.34,-12.15764929
"1g48",7,80,0,0,4,1,41,41,0,1,14,0,0,0,1,5,-18.92,1.27,-2.93,-17.57,-0.69,6.8,-31.67,5.08,-11.61884438
"1g4j",7,89,0,0,4,1,47,44,0,2,14,0,0,0,1,5,-9.23,1.76,-2.8,-15.3,-0.5,-2.97,-28.59,5,-12.01949419
"1g4o",6,81,0,0,3,1,39,44,0,1,16,0,0,0,0,5,-11.53,2.76,-2.3,-17.5,-0.8,-0.27,-29.39,5.82,-11.39779621
"1g52",7,80,0,0,3,3,42,39,0,2,13,0,0,1,1,5,0.93,1.94,-2.49,-19.63,-0.71,-10.16,-29.51,3.94,-13.17999707
"1g53",6,89,0,0,4,5,47,39,0,2,15,0,0,0,0,5,-9.7,0.9,-2.9,-18.51,-0.29,-0.73,-31.23,4.33,-12.48922154
"1g54",8,80,0,0,3,10,35,40,0,1,12,0,0,1,0,5,8.15,1.1,-2.2,-16.8,-1.56,-12.18,-30.24,2.36,-12.18528031
"1g7g",12,172,8,0,9,26,3,138,3,8,41,0,1,0,3,19,-143.41,11.34,-15.07,-39.02,-0.48,158.21,-61.31,17.42,-9.118236968
"1g7v",4,115,0,0,21,0,21,77,0,1,6,0,0,0,3,16,-115.38,4.86,-6.03,-16.96,0,171.39,-42.74,9.87,-8.841926757
"1g85",0,19,0,0,0,0,16,3,0,0,4,0,0,0,0,6,-1.91,1.46,0,-34.57,0,8.25,-26.49,1.6,-7.570899786
"1g98",13,158,9,4,31,64,8,55,1,8,0,0,0,0,1,9,-208.01,1.44,-16.11,-12.13,0,198.18,-27.21,15.15,-7.874841018
"1gaf",6,106,0,3,21,0,49,39,0,6,31,0,1,0,2,8,-47.35,0.71,-6.04,-21.94,-0.81,51.95,-41.12,3.14,-11.05240845
"1gah",13,216,0,0,45,44,20,120,10,2,28,0,0,0,1,22,-210.17,4.57,-8.44,-48.78,0,170.72,-61.24,25.1,-16.57861267
"1gai",14,205,0,0,44,44,19,112,8,2,26,0,0,0,1,22,-220.99,7.69,-8.25,-46.9,0,185.41,-66.03,26.13,-11.05240845
"1gcz",5,103,0,13,10,0,44,41,1,3,28,0,0,1,0,4,-17.18,1.03,-1.48,-30.88,-0.34,16.33,-38.52,1.89,-7.087356916
"1ghv",3,111,0,19,30,0,7,58,3,0,20,0,0,0,0,4,-141.69,2.43,-2.71,-14.24,-0.03,161.51,-33.15,5.08,-6.009747093
"1ghw",4,117,0,17,31,0,7,66,2,0,22,0,0,0,0,4,-151.55,1.83,-3.14,-15.93,-0.11,174.15,-36.93,4.34,-5.802514434
"1ghy",11,155,0,8,53,0,2,103,3,0,28,1,1,2,0,4,-138.18,8.24,-3.03,-17.88,-1.13,190.9,-36.02,8.56,-11.19056355
"1ghz",3,120,0,4,50,0,5,64,3,0,17,0,0,0,0,4,-208.73,1.44,-3.38,-13.54,-1.57,217.22,-34.49,3.98,-6.631445068
"1gi1",4,116,0,16,38,0,6,60,3,0,16,0,0,0,0,4,-221.91,1.16,-3.56,-14.05,-2.93,237.57,-35.57,2.37,-7.557084275
"1gi4",6,122,0,8,49,0,5,66,3,1,15,0,0,0,0,4,-210.48,3.61,-2.84,-14.82,-0.77,280.21,-31.93,11.24,-9.933352091
"1gi6",5,120,0,4,52,0,4,65,3,0,18,0,0,0,0,4,-214.77,1.22,-3.14,-16.95,-1.53,256.17,-37.39,3.7,-8.593247567
"1gi8",1,115,0,5,53,0,5,53,0,0,16,0,0,0,0,4,-198.79,1.58,-1.9,-14.21,-2.38,261.79,-37.81,10.04,-6.976832832
"1gi9",1,117,0,4,53,0,6,55,0,0,18,0,0,0,0,5,-215.31,2.47,-2.22,-14.93,-1.99,263.03,-37.61,10.88,-7.211696511
"1gj4",11,157,0,30,43,0,16,79,3,0,38,1,0,1,0,5,-145.33,2.93,-2.86,-34.76,-0.31,186.12,-43.01,6.43,-5.622912797
"1gj6",7,175,0,18,55,0,14,95,4,0,29,1,0,1,0,5,-185.24,1.93,-2.55,-33.02,-2.3,232.44,-49.99,4.27,-9.670857391
"1gj7",10,146,0,17,53,0,10,76,4,0,26,1,0,1,0,5,-206.6,3.24,-2.97,-32.03,-1.64,266.75,-48.59,7,-10.90043783
"1gj8",1,117,0,5,59,0,7,47,0,0,21,0,0,0,0,7,-187.26,4.88,-1.92,-22.4,-1.57,288.56,-48.4,15.84,-9.615595348
"1gja",9,156,0,5,73,0,3,84,4,2,18,1,0,1,0,5,-215.48,4.98,-8.78,-17.93,-0.89,211.29,-39.91,10.31,-7.488006722
"1gjb",3,119,0,6,57,0,6,53,2,0,18,1,0,1,0,5,-197.05,4.98,-2.86,-21.33,-0.45,269.69,-42.88,13.67,-8.772849204
"1gjc",2,113,0,6,53,0,6,50,2,0,17,1,0,1,0,5,-198.63,3.33,-2.6,-21.14,-0.46,287.05,-40.81,13.93,-8.772849204
"1gjd",9,173,0,32,62,0,8,80,4,2,27,0,0,0,0,5,-216.12,5.14,-8.66,-30.01,-0.78,227.74,-49.76,8.77,-7.211696511
"1gnm",10,170,0,26,31,0,58,65,5,4,17,0,0,0,1,20,-55.75,6.45,-9.29,-58.14,0,65.82,-70.61,14.01,-8.634694099
"1gnn",11,200,0,26,39,0,61,85,4,3,15,0,0,0,0,20,-43.8,3.68,-8.29,-59.01,0,36.07,-67.8,10.91,-7.847209997
"1gno",9,174,0,24,40,0,60,59,3,4,17,0,0,0,0,20,-44.44,11.4,-6.97,-61.92,0,33.05,-71.43,14.82,-10.63794313
"1gny",7,90,0,1,5,0,59,32,5,4,11,0,0,0,0,20,-64.01,2.69,-5.61,-24.3,0,53.85,-45.81,19.76,-5.719621371
"1grp",13,104,0,0,0,33,54,30,0,8,1,0,0,0,8,6,121.91,2.87,-20.96,-6.23,0,-80.66,-19.96,5.04,-5.139369928
"1gt1",0,38,0,2,0,0,32,4,0,0,14,0,1,3,0,1,-4.1,0.99,0,-28.06,-4.21,17.37,-33.71,0.77,-8.289306335
"1gu1",13,139,0,6,29,3,34,80,2,6,10,0,0,0,0,4,-13.66,-0.39,-5.79,-18.54,0,4.88,-27.51,2.98,-6.244610772
"1gwv",8,133,0,0,0,9,5,127,3,3,17,0,0,0,0,12,-73.02,3.5,-3.12,-20.86,0,33,-30.06,-3.94,-3.550586213
"1gyx",4,66,0,10,1,5,32,22,0,3,18,0,1,0,1,1,-9.53,0.36,-6.26,-11.69,-3.2,0.18,-20.06,0.31,-3.426246618
"1gyy",3,74,0,9,4,11,20,33,0,2,24,0,0,1,1,3,-13.62,0.44,-5.72,-17.43,-0.85,-3.17,-22.35,0.9,-5.028845843
"1gz3",7,148,14,8,33,30,7,63,0,6,12,0,0,0,2,11,-64.35,4.32,-15.38,-8.94,0,101.77,-60.82,12.25,-5.111738906
"1gz9",8,139,0,4,22,0,17,104,3,4,13,0,0,0,0,16,-95.95,0.6,-5.33,-26.79,0,59.41,-39.95,9.79,-4.849244206
"1gzc",6,104,0,4,18,0,17,71,2,3,12,0,0,0,0,12,-71.22,1.89,-4.14,-20.41,0,41.24,-25.9,5.9,-4.821613185
"1h1d",7,94,0,0,5,4,5,87,1,1,22,1,0,1,0,9,-12.95,-1.52,-2.36,-23.14,-1.4,25.54,-30.69,12.96,-11.35634968
"1h1h",6,68,0,0,2,22,16,34,0,5,3,0,0,0,4,8,-258.06,0.38,-17.3,-0.26,-0.2,256.63,-16.77,1.16,-7.211696511
"1h2t",15,331,0,12,23,0,94,217,5,8,58,0,4,0,1,18,-64.01,8.56,-15.49,-27.07,-10.38,66.57,-69.24,13.15,-10.90043783
"1h46",0,95,0,0,1,0,29,65,0,0,26,0,3,0,0,6,5.27,2.99,-0.18,-26.53,-12.39,124.63,-46.32,2.52,-4.932137269
"1h6h",10,136,8,1,18,55,21,43,1,8,6,0,0,0,3,20,-132.43,4.66,-19.43,-15.33,0,112.82,-37.65,7.64,-7.322220596
"1h9z",0,46,5,0,0,41,0,0,0,0,24,0,0,1,0,5,-16.85,-0.44,-0.71,-35.72,-0.86,32.34,-46.2,2.89,-7.488006722
"1hbv",3,137,0,19,28,0,43,50,1,2,28,0,0,0,3,15,-27.24,9.48,-2.92,-63.31,-0.66,21.54,-66.28,26.06,-8.800480225
"1heg",6,133,0,22,34,0,32,51,3,1,18,0,0,0,1,16,-56.8,8.36,-4.27,-53.78,0,60.51,-73.13,8.66,-10.69320517
"1hi3",5,101,0,19,0,21,56,10,1,4,10,2,2,0,3,8,-201.05,4.1,-14.22,-3.19,-5.72,188.25,-27.07,6.34,-5.788698924
"1hi5",7,111,0,23,0,22,54,19,0,5,7,0,0,0,5,9,-124.36,1.55,-14.84,-3.17,-1.33,119.58,-34.22,10.33,-5.581466265
"1hih",7,136,0,12,50,0,30,51,5,2,25,0,0,0,2,16,-62.79,3.33,-3.11,-63.18,-0.78,62.36,-84.01,13.84,-11.121486
"1hii",7,136,0,16,49,0,32,46,5,2,29,0,0,0,2,16,-62.93,2.71,-3.14,-72.56,0,64.85,-84.62,13.3,-10.05769169
"1hlk",1,82,0,0,4,2,17,60,0,2,12,1,0,0,5,4,74.76,6.74,-3.1,-20.56,-5.35,-40.55,-36.55,6.75,-6.907755279
"1hmr",3,58,0,7,0,3,47,4,0,3,12,0,0,0,1,16,-39.12,-0.17,-5.3,-51.29,0,39.42,-46.19,9.24,-9.049159415
"1hms",3,56,0,4,0,5,40,10,0,3,15,0,0,0,1,15,-35.15,1.27,-5.36,-53.17,0,37.4,-44.02,5.66,-8.800480225
"1hmt",3,59,1,4,0,7,43,7,0,3,14,0,0,0,1,16,-38.21,0.72,-5.34,-51.78,0,37.78,-47.67,5.59,-7.999180613
"1hn2",0,36,0,4,0,0,28,4,0,0,13,0,1,2,0,1,-2.75,1.04,0,-28.63,-3.2,17.73,-35.28,0.54,-8.289306335
"1hnn",2,112,2,0,0,45,18,49,1,0,27,0,1,0,2,2,32.49,0.59,-1.36,-22.97,-3.62,3.85,-35.97,1.22,-8.620878588
"1hos",5,115,0,26,34,0,25,35,4,2,33,0,0,0,0,20,-12.09,5.92,-2.01,-67.76,-0.1,61.48,-92.19,13.99,-11.81226153
"1hpo",4,121,0,17,18,0,26,64,1,5,20,1,0,0,0,7,-9.18,6.93,-2.72,-47.97,-2.83,16.48,-66.4,10.38,-12.73790073
"1hps",6,161,0,15,47,0,39,66,3,2,27,1,0,0,0,18,-47.19,4.8,-2.97,-71.63,-0.59,57.92,-83.7,9.35,-12.73790073
"1hpv",4,130,0,17,28,0,52,37,2,2,24,0,0,0,0,14,-6.89,4.28,-3.79,-57.15,-0.02,19.68,-70.19,10.83,-12.73790073
"1hpx",4,142,0,14,46,0,37,49,2,1,28,0,0,0,0,15,-35.55,-3.45,-2.34,-69.85,-0.1,42.22,-80.48,12.33,-15.55626489
"1hsh",6,140,0,23,29,0,41,53,3,1,41,0,0,0,2,14,-41.79,2.52,-3.43,-73.95,-0.47,60.68,-88.54,12.51,-13.01421095
"1hvh",8,166,0,15,40,0,56,63,3,1,27,0,0,0,0,15,2.62,4.11,-4.77,-59.95,0,4.03,-69.9,11.07,-10.9971464
"1hvi",8,210,0,16,49,0,41,112,3,2,50,2,0,0,0,21,-34.13,1.98,-3.42,-74.82,-4.93,61.86,-105.83,21,-15.08653753
"1hvj",7,196,0,16,49,0,36,102,2,2,50,2,0,0,0,20,-41,5.41,-2.65,-73.82,-5.05,63.83,-103.12,17.18,-15.74968204
"1hvk",7,242,0,18,57,0,53,121,4,2,50,2,0,0,0,21,-45.27,2.95,-3.94,-79.54,-4.75,63.09,-105.97,8.67,-15.14179957
"1hvl",9,217,0,16,51,0,42,117,4,2,49,2,0,0,0,21,-50.49,6.99,-4,-76.75,-4.88,62.95,-101.59,9.33,-13.74643301
"1hvr",4,155,0,13,37,0,58,51,2,2,40,0,0,0,0,10,-29.5,4.78,-2.69,-72.08,0,49.64,-78.94,17.05,-13.13855054
"1hvs",8,199,0,18,50,0,41,98,3,2,47,2,0,0,0,21,-27.43,3.54,-2.97,-70.61,-4.44,61.38,-100.01,23.34,-14.22997587
"1hwr",4,122,0,1,40,0,38,47,2,2,33,0,0,0,0,10,-22.14,2.4,-2.71,-53.58,0,40.59,-54.19,5.28,-11.50832029
"1hxb",7,177,0,20,43,0,65,56,3,2,40,0,0,0,2,14,-33.58,4.46,-5.1,-71.43,-0.31,62.13,-94.33,14.04,-13.70498647
"1hxw",6,170,0,19,49,0,34,74,4,2,43,1,0,0,0,19,-52.27,2.37,-3,-74.48,-2.04,63.45,-97.64,11.47,-14.94838242
"1hyo",9,82,0,14,6,24,27,20,0,6,8,0,0,0,4,4,-16.11,0.26,-11.25,-11.53,0,43.87,-22.73,5.06,-5.622912797
"1i00",0,60,2,0,2,14,14,28,0,0,26,0,0,1,1,9,-29.72,4.87,-1.47,-30.21,-0.28,57.71,-47.99,5.47,-8.759033694
"1i5r",8,269,0,5,78,47,12,135,2,3,66,0,0,0,0,18,-81.88,10.47,-6.25,-92.45,-0.42,51.26,-91.22,22.95,-11.770815
"1i7z",0,74,0,2,14,0,44,14,0,1,29,2,0,0,1,5,-14.73,2.03,-0.46,-43.32,0,39.17,-49.64,2.47,-8.841926757
"1i80",3,91,0,32,0,0,38,24,2,1,18,0,0,0,0,0,-24.78,0.2,-1.67,-10.05,-0.29,17.35,-26.34,0.26,-8.855742268
"1i9l",6,85,0,0,5,2,38,46,0,1,16,0,0,0,0,5,5.02,0.33,-2.25,-17.28,-0.75,-10.83,-27.97,2.09,-11.71555295
