"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"1tni",2,80,0,5,39,2,1,35,3,0,10,0,0,0,1,3,-88.63,1.28,-1.44,-21.07,0,112.66,-24.21,1.97,-5.526204223
"1tnj",2,72,0,4,42,2,0,26,3,0,7,0,0,0,1,4,-88.7,0.73,-1.3,-17.55,0,119.88,-23.91,0.98,-2.707840069
"1tnk",2,78,0,10,39,3,2,26,2,0,9,0,0,0,1,2,-87.48,3,-1.23,-19.69,0,122.47,-25.35,4.14,-2.058511073
"1tnl",2,87,0,5,47,1,3,33,1,0,12,0,0,0,1,8,-87.31,0.32,-1.3,-20.7,0,114.46,-24.69,0.59,-2.597315985
"1tom",5,131,0,7,64,0,0,65,4,1,32,0,0,0,1,4,-133.35,0.32,-2.08,-48.05,-1.4,157.52,-53.62,2.02,-11.46687376
"1tsl",2,75,2,0,13,38,0,24,0,0,25,0,1,1,0,3,-27.17,4.13,-1.51,-26.04,-2.64,38.78,-32.95,5.25,-8.496538993
"1tvo",4,115,0,23,2,1,76,17,3,2,31,0,0,0,0,3,66.57,2.03,-2.01,-22.71,-1.32,-69.29,-46.39,4.86,-9.463624732
"1tx7",5,105,0,9,43,0,6,52,3,2,8,0,0,0,1,10,-174.89,1.63,-11.25,-12.38,0,167.44,-24.55,3.57,-6.355134857
"1txr",12,116,0,0,16,3,29,80,3,1,26,0,1,1,3,5,156.44,3.95,-5.17,-33.94,-0.95,8.64,-41.35,11.66,-10.69320517
"1tys",15,178,4,12,0,19,70,88,2,12,6,0,0,0,4,3,-35.3,2.1,-20.99,-14.86,0,25.21,-39.38,2.88,-7.584715296
"1u1w",12,133,6,6,20,18,62,33,3,5,11,0,0,0,0,7,-14.57,1.8,-9.1,-14.06,0,13.79,-30.14,2.2,-8.082073676
"1ua4",5,105,5,17,16,15,31,26,2,2,6,0,0,0,1,9,-7.62,1.71,-11.33,-16.01,-1.32,22.53,-50.67,7.38,-5.830145455
"1ucn",11,163,0,0,12,68,29,65,0,5,28,0,4,0,2,12,-39.05,2.46,-15,-14.94,-11.19,47.05,-38.45,1.8,-7.211696511
"1ugx",8,124,0,18,20,0,47,47,2,3,18,0,0,0,0,0,-62.62,1.11,-3.81,-22.29,0,35.39,-33.9,10.29,-8.16496674
"1ui0",8,92,0,17,7,4,43,29,1,3,18,0,1,0,0,9,-23.38,0.84,-1.52,-6.01,-1.89,5.84,-22.42,1.12,-9.753750454
"1uj5",15,178,13,16,30,52,32,50,1,9,5,0,0,0,2,12,-75.89,3.83,-15.53,-14.07,0,66.84,-31.2,7.71,-4.21373072
"1ulg",7,91,0,0,0,0,85,13,3,1,9,0,0,0,0,0,-29.72,1.93,-3.7,-14.23,0,11.79,-14.59,4.55,-5.816329945
"1upf",2,44,2,4,12,5,20,3,1,1,5,0,0,0,0,14,-17.99,0.01,-1.09,-6.4,-0.19,7.67,-15.6,0.29,-6.355134857
"1ur9",12,179,0,0,20,2,92,77,4,6,33,0,0,0,0,12,-69.15,4.1,-4.85,-41.99,-1.23,73.66,-75.92,12.32,-7.971549592
"1urg",5,107,0,0,0,19,9,84,3,0,15,0,0,0,0,5,-52.84,1,-4.69,-31.45,0,35.11,-39.29,9.4,-8.040627145
"1usn",4,101,0,21,2,17,29,36,2,2,22,1,2,0,0,2,73.22,3.08,-1.36,-16.73,-5.21,-43.94,-42.53,5.73,-10.69320517
"1utj",3,75,0,2,40,0,2,34,3,0,11,0,0,0,1,4,-110.86,1.98,-1.51,-15.24,0,136.73,-21.7,3.19,-5.305156054
"1utl",1,70,0,8,34,0,2,27,1,0,11,0,0,0,1,3,-149.53,0.97,-1.32,-18.03,-0.04,181.08,-25.81,1.15,-3.412431108
"1utm",1,60,0,6,21,0,2,32,1,0,5,0,0,0,1,2,-138.74,0.18,-1.38,-15.64,-0.14,160.79,-23.23,0.67,-4.158468678
"1utn",3,75,0,2,37,0,2,37,3,0,10,0,0,0,1,3,-63.4,0.25,-1.48,-14.11,-0.25,99.58,-23.39,0.39,-4.821613185
"1uto",1,76,0,9,33,0,1,34,1,0,12,0,0,0,1,4,-99,0.25,-1.32,-16.3,0,128.92,-25.5,0.75,-3.136120897
"1uv6",0,56,0,3,8,0,20,25,0,0,21,3,0,0,0,8,-191.47,12.43,-1.09,-27.45,0,180.81,-23.89,9.1,-7.073541406
"1uvt",2,134,0,32,24,0,18,62,1,0,56,0,1,2,0,1,-39.8,7.97,-0.61,-35.95,-0.89,57.07,-55.27,15.97,-10.55505007
"1uw6",0,46,0,1,9,0,19,17,0,0,18,3,0,0,0,9,-19.86,1.49,-0.29,-43.15,-0.28,65.53,-30.74,2.03,-10.14058475
"1uwf",10,136,0,4,21,0,72,49,4,5,5,0,0,0,0,8,-44.65,0.58,-4.39,-25.02,0,23.57,-27.92,2.22,-9.422178201
"1ux7",1,52,0,1,18,0,6,28,0,0,11,0,0,0,0,16,-12.78,-0.21,-1.1,-16.69,0,28.5,-24.39,5.95,-4.144653167
"1uxa",3,68,0,0,15,0,33,23,2,1,13,0,0,0,1,16,-102.5,-1.53,-7.11,-16.14,0,84.39,-36.79,6.57,-3.177567428
"1uxb",3,70,0,0,13,0,38,22,2,1,13,0,0,0,1,4,-72.63,-0.73,-6.71,-16.85,0,58.86,-34.88,7.8,-2.97033477
"1uz4",10,123,0,0,0,0,41,92,3,4,11,0,0,0,0,16,-43.62,3.72,-4.13,-15.84,0,36.44,-25.24,1.92,-4.69727359
"1uz8",9,156,0,0,35,0,59,71,4,3,19,0,0,0,0,7,-51.86,4.41,-3.23,-30.04,0,39.67,-49.65,7.4,-6.852493237
"1v0k",5,96,0,0,0,0,29,72,1,2,6,0,0,0,2,6,-52.35,8.95,-4.01,-14.13,0,60.94,-12.1,11.34,-7.045910385
"1v0l",8,130,0,0,1,0,37,100,3,3,13,0,0,0,2,4,-37.76,0.5,-4.75,-19.42,0,57.23,-36.3,2.98,-10.43071047
"1v1j",13,135,0,5,28,8,34,73,3,6,10,0,0,0,1,2,-9.64,-0.82,-6.38,-19.28,0,0.95,-27.58,6.67,-6.659076089
"1v2j",3,103,0,22,33,0,9,42,3,0,14,0,0,0,0,4,-204.25,0.72,-7.34,-11.58,-0.14,208.2,-25.35,1.56,-4.490040931
"1v2k",0,118,0,24,30,0,19,45,0,0,46,0,2,1,0,2,-66.62,-4.46,-0.13,-39.78,-3.76,119.42,-56.55,12.52,-8.551801035
"1v2l",3,95,0,22,33,0,11,32,3,0,14,0,0,0,0,6,-236.48,0.57,-7.2,-11.67,0,239.96,-25.03,1.54,-5.926854029
"1v2n",5,153,0,22,39,0,42,55,3,1,26,0,0,1,0,11,-343.87,2.24,-9.05,-28.56,-5.06,348.06,-48.05,2.98,-8.151151229
"1v2q",4,122,0,6,69,0,3,48,3,2,13,0,0,0,0,11,-288.27,3.75,-8.01,-22.16,-0.08,296.63,-43.28,12.48,-5.70580586
"1v2r",7,130,0,6,71,0,2,58,3,2,14,0,0,0,0,2,-266.88,4.66,-7.99,-29.12,-1.65,278.34,-44.62,10.03,-4.904506248
"1v2s",3,93,0,21,29,0,9,37,3,0,12,0,0,0,0,11,-234.5,0.63,-7.24,-11.62,0,245.85,-26.03,1.61,-5.761067903
"1v2t",7,115,0,26,42,0,4,50,3,1,13,0,0,0,0,2,-291.29,2.5,-7.99,-20.59,0,301.88,-35.95,12.42,-6.507105473
"1v2u",3,93,0,18,29,0,12,37,3,0,13,0,0,0,0,11,-218.33,0.67,-7.18,-11.85,0,227.77,-26.37,1.68,-4.655827058
"1v2w",7,123,0,6,73,0,2,49,3,1,13,0,0,0,0,17,-290.33,3.81,-7.91,-22.64,-0.16,295.34,-40.55,12.37,-5.540019734
"1vj9",12,186,0,12,92,0,25,69,5,2,20,1,0,1,0,15,-266.39,5.6,-9.37,-31.42,-1.1,288.28,-62.43,17.83,-10.43071047
"1vja",13,197,0,12,94,0,18,86,6,3,20,0,0,0,0,11,-277.33,5.12,-9.54,-25.58,-0.18,284.08,-53.83,16.85,-10.63794313
"1vjc",7,121,0,33,21,18,12,44,4,3,10,0,0,0,4,11,-38.61,7.89,-10.74,-14.07,0,44.53,-50.4,20.09,-4.94595278
"1vjd",10,194,7,52,25,43,24,53,3,7,10,0,0,0,3,8,-100.49,6.58,-16.51,-13.67,0,116.28,-63.02,18.01,-4.890690738
"1vkj",12,184,16,8,29,41,23,79,1,9,18,0,2,0,4,13,-292.37,7.8,-19.53,-10.86,-1.61,292.14,-58.79,6.71,-6.700522621
"1vwl",4,108,0,5,3,0,100,4,1,2,21,0,0,1,0,10,-64.07,0.99,-2.3,-34.18,-0.72,48.74,-51.79,15.18,-7.778132444
"1vwn",4,161,0,0,4,0,126,35,0,7,44,0,2,1,0,15,-31.33,-0.34,-2.35,-38.02,-1.85,29.39,-59.07,11.76,-8.040627145
"1vyf",3,57,2,0,0,3,41,14,0,3,11,0,0,0,2,14,-60.68,3.37,-6.17,-51.56,0,63.76,-43.68,8.76,-11.121486
"1vyg",3,99,5,2,0,7,64,24,0,3,28,0,0,0,2,11,-65.54,3.93,-6.73,-60.08,0,63.79,-45.24,21.4,-11.05240845
"1w0y",5,149,0,12,54,0,5,83,4,0,33,0,0,0,0,10,-199.19,1.3,-8.48,-25.2,-0.19,220.75,-59.01,10.48,-8.869557778
"1w1d",11,130,0,2,0,0,139,0,0,9,1,0,0,0,8,16,-552.54,2.3,-35.41,-2.03,0,531.22,-14.54,3.77,-9.007712884
"1w1g",11,130,0,2,0,0,139,0,0,9,1,0,0,0,8,8,-420.45,2.22,-29.78,-2,0,404.56,-20.14,3.26,-10.61031211
"1w3j",9,113,0,0,0,0,42,80,5,2,9,2,0,0,2,16,-24.59,2.21,-4.12,-16.39,0,40.64,-24.95,3.67,-8.731402673
"1w3l",23,184,0,0,20,0,74,113,4,5,20,2,0,0,2,6,-89.28,5.36,-9.56,-26.21,0,61.36,-36.52,18.17,-8.67614063
"1w4o",7,102,0,24,0,23,44,18,1,6,6,0,0,0,3,5,-99.39,0.98,-12.31,-5.95,0,86.47,-32.71,4.52,-7.211696511
"1w4p",6,97,0,15,0,26,41,21,1,6,3,0,0,0,3,5,-103.56,1.25,-13.17,-6.66,-0.09,88.43,-32.22,3.55,-6.548552004
"1w4q",8,104,0,20,0,28,44,20,1,5,4,0,0,0,3,17,-107.49,2.62,-13.27,-7.67,-0.1,85.63,-30.9,4.46,-7.266958553
"1w5v",7,225,0,23,60,0,53,96,7,2,46,0,0,0,0,17,-33.8,-1.04,-4.89,-72.96,-1.53,57.17,-101.26,17.35,-11.2596411
"1w5w",10,230,0,22,58,0,50,110,5,2,42,0,0,0,0,17,-37.83,-0.28,-4.3,-74.59,-1.49,54.13,-102.6,11.53,-12.15764929
"1w5x",10,230,0,23,63,0,50,104,6,2,41,0,0,0,0,17,-34.55,2.65,-4.26,-76.68,-1.51,57.67,-105.45,10.96,-11.60502887
"1w5y",8,229,0,17,57,0,46,117,7,2,40,0,0,0,0,13,-33.51,4.14,-4.73,-72.54,-1.51,54.94,-101.22,17.35,-11.71555295
"1w7g",7,178,0,52,32,0,24,77,2,3,27,2,0,0,2,13,-230.45,3.22,-6,-38.78,0,230.69,-52.23,6.1,-7.045910385
"1w7x",8,177,0,13,64,0,4,104,4,0,35,1,0,1,2,0,-150.05,1.48,-13.24,-26.37,-0.98,179.94,-76.11,12.89,-11.60502887
"1w8l",1,35,0,2,4,0,24,6,0,1,11,0,0,0,0,3,-6.31,0.36,-0.29,-24.14,0,10.45,-23.66,0.6,-0.676960017
"1w8m",2,60,0,2,8,0,46,6,0,2,8,0,0,0,0,12,-14.39,0.63,-0.88,-14.97,0,12.6,-26.69,0.34,-2.210481689
"1wc1",11,155,17,9,15,53,35,37,0,4,9,0,0,0,3,11,55.41,6.51,-12.36,-9.62,-0.04,22.75,-56.98,10.4,-5.526204223
"1wcq",12,159,0,0,1,0,115,55,4,7,15,0,0,0,6,4,-1.7,2.1,-18.25,-23.11,0,4.47,-41.22,13.88,-8.648509609
"1we2",8,79,0,0,18,51,0,18,2,4,5,0,0,0,2,5,-155.55,-2.86,-8,-18.6,0,154.54,-21.02,7.84,-6.023562603
"1wht",7,105,2,3,17,7,19,64,0,5,28,0,2,0,2,3,277.59,2.22,-8.44,-22.4,-3.46,-194.46,-31.73,3.52,-5.111738906
"1wm1",3,92,1,1,15,28,12,38,1,2,11,1,0,1,2,12,-10.93,3.47,-0.86,-25.61,-0.24,26.33,-39.63,3.64,-8.703771652
"1ws1",9,146,3,41,5,41,30,35,1,4,24,0,0,0,1,6,47.5,1.97,-2.7,-38.41,0,-21.05,-55.07,5.26,-13.19381258
"1ws4",7,88,0,14,16,0,38,27,2,3,15,0,0,0,0,6,-26.19,1.31,-3.08,-19.41,0,13.81,-23.36,1.43,-4.144653167
"1ws5",6,105,0,16,18,0,41,36,3,3,17,0,0,0,0,4,-32.33,0.99,-3.32,-18.77,0,14.96,-22.6,1.74,-4.186099699
"1wvj",10,183,5,26,3,61,73,25,3,7,25,1,0,0,2,6,-50.33,0.19,-5,-32.93,0,24.01,-40.67,1.97,-9.297838606
"1x38",12,154,0,0,1,12,90,63,4,3,25,0,1,0,0,8,-18.76,-0.54,-5.37,-31.15,-7.19,63.9,-45.1,9.86,-12.11620276
"1x39",13,148,0,2,1,7,90,61,5,3,15,0,0,0,0,4,-20.69,-1.74,-6.27,-32.97,-0.55,67.3,-51.06,11.33,-12.73790073
"1x8d",6,81,0,0,0,69,18,0,0,3,0,0,0,0,0,1,-36.8,-0.69,-2,-20.33,0,14.98,-21.83,3.65,-3.053227833
"1x8j",0,20,0,0,1,11,1,7,0,0,7,0,0,0,0,8,-22.38,1.38,-0.49,-53.81,0,32.96,-40.1,1.11,-9.615595348
"1x8r",24,280,2,0,9,137,0,156,1,17,17,0,0,0,11,8,-329.77,3.11,-40.5,-15.62,0,342.54,-43.9,7.09,-8.455092461
"1x8t",24,235,4,0,3,190,0,62,1,16,17,0,0,0,10,11,-351.64,0.96,-39.88,-15.83,0,347.53,-38.87,8.1,-10.77609824
"1xbo",14,195,8,0,11,89,11,90,1,10,34,0,0,0,1,28,-89.81,4.49,-11.02,-36.92,-0.68,88.73,-57.23,7.95,-8.344568377
"1xd0",13,236,0,2,27,0,49,171,8,3,19,0,0,0,2,5,-62.44,15.11,-8.35,-60.48,0,85.16,-75.09,26.6,-9.836643517
"1xgi",7,108,2,33,7,42,12,19,0,5,11,0,0,2,0,4,-21.83,3.33,-3.74,-12.68,-0.13,14.49,-34.65,3.63,-6.700522621
"1xhy",10,126,9,11,4,53,33,26,0,7,24,1,0,0,2,18,-95.9,5.1,-13.02,-26.82,0,114.96,-32.45,6.18,-8.537985525
"1xk5",8,163,0,34,0,0,107,30,3,3,25,1,6,0,3,3,-93.56,0.31,-13.97,-14.7,-10.59,54.49,-52.29,8.74,-8.289306335
"1xk9",2,98,2,28,0,32,27,11,1,1,39,0,3,0,0,10,-16.38,4.89,-0.49,-28.44,-5.39,19.78,-41.9,6.05,-9.463624732
"1xka",4,191,0,7,79,3,6,100,3,1,57,2,2,2,0,7,-175.64,2.57,-10.01,-33.4,-4.92,214.67,-52.35,6.91,-9.505071264
"1xpz",8,90,0,0,9,5,37,47,1,2,11,1,0,1,1,7,-6.09,0.9,-2.41,-13.86,-0.23,-1.95,-36.64,5.05,-9.781381475
"1xq0",8,85,0,0,10,2,43,38,2,1,7,1,1,0,1,6,-8.6,1.29,-2.13,-19.33,-3.05,9.66,-43.34,3.04,-8.759033694
"1y0l",2,92,0,2,1,0,90,1,1,1,41,0,5,0,1,2,-5.31,4.69,-2.7,-36.69,-11.3,16.61,-40.9,5.66,-12.4339595
"1y20",9,119,3,17,2,38,49,19,3,4,17,1,0,0,2,7,-27.17,0.21,-3.97,-14.32,0,9.94,-17.12,0.27,-7.349851617
"1y2f",0,48,0,0,3,0,36,9,0,0,33,0,2,0,1,3,-72.23,-4.14,-1.81,-29.55,-4.57,71.89,-32.9,3.62,-6.797231195
"1y2g",0,31,0,0,4,0,25,2,0,0,20,0,2,0,0,16,-11.12,1.64,-0.28,-23.08,-2.8,14.88,-33.66,1.24,-5.636728308
"1y3n",15,162,3,0,0,88,54,32,1,7,8,0,0,0,3,19,-31.97,0.11,-11.9,-16.8,0,49.94,-49.18,5.04,-7.66760836
"1y3p",18,259,2,0,3,97,76,99,2,7,14,0,0,0,4,6,11.94,2.99,-16.91,-27.41,0,65.95,-79.22,21.87,-6.659076089
"1y6r",7,162,0,26,20,27,47,49,4,1,23,0,0,0,2,6,-40.62,5.2,-7.55,-51.18,-0.88,42.26,-54.32,5.71,-13.96748117
"1yc1",3,126,15,14,1,57,38,4,2,1,27,0,0,0,1,5,-2.15,1.72,-7.76,-33.39,-1.83,-3.69,-52.59,2.71,-8.524170014
"1yc4",3,106,17,11,0,38,41,2,2,1,23,0,0,0,0,3,-27.68,2.53,-1.99,-29.57,-0.42,28.84,-44.93,4.18,-9.049159415
"1yda",6,87,0,1,10,6,30,46,1,2,3,0,0,0,1,3,-3.1,1.54,-1.86,-9.84,-0.32,-1.08,-26.97,1.99,-9.049159415
"1ydb",7,91,0,0,4,4,41,49,0,1,7,0,1,0,0,16,-5.84,1.98,-2.59,-10.36,-1.5,-5.33,-27.2,1.85,-11.3839807
"1ydk",13,140,4,12,4,54,14,65,2,7,11,0,0,0,4,9,-124.91,2.09,-11.64,-31.04,0,94.36,-43.47,12.49,-8.137335719
"1yei",5,131,0,1,17,0,96,22,1,4,39,0,3,0,1,13,-75.4,2.88,-5.85,-24.32,-5.14,82.74,-50.75,6.79,-10.30637088
"1yej",4,138,0,0,21,0,48,73,0,4,37,0,3,0,1,6,-69.87,3.44,-4.42,-33.22,-5.39,81.88,-55.25,6.52,-10.30637088
"1yfz",7,85,0,3,20,0,20,49,1,6,6,0,1,0,1,11,3.49,6.27,-10.84,-5.81,-1.41,7.24,-31.87,7.7,-6.009747093
"1yid",12,143,10,8,24,23,28,62,3,5,8,1,0,0,4,5,-87.38,5.37,-7.51,-7.45,-0.77,100.9,-47.28,3,-6.907755279
"1yqj",1,122,0,17,28,1,43,34,0,2,57,1,1,0,1,6,-11.43,1.09,-0.85,-49.36,-1.47,28.42,-66.77,3.32,-11.24582559
"1yqy",8,137,0,20,7,50,8,60,2,1,18,1,2,0,2,1,23.83,4.11,-2.42,-29.3,-0.64,9.46,-50.57,5.31,-10.52741905
"1yvm",2,45,0,0,4,0,1,42,0,0,22,1,0,1,0,12,5.85,2.11,-0.01,-14.2,-5.4,31.3,-23.98,1.74,-8.841926757
"1z3t",9,148,0,0,12,0,10,135,3,4,9,0,0,0,0,12,-68.53,2.38,-5.78,-21.5,0,83.67,-37.13,7.12,-5.44331116
"1z3v",12,158,0,0,15,0,8,147,5,3,10,0,0,0,0,7,-57.02,1.5,-6.41,-21.83,0,83.13,-39.69,3.71,-5.678174839
"1z4n",10,163,9,0,41,99,0,24,1,7,9,0,0,0,3,8,-43.61,5.59,-12.59,-13.37,0,20.89,-32.88,3.81,-6.244610772
"1z6e",5,173,0,38,37,0,23,80,2,1,43,0,4,3,0,7,-29.17,4.97,-4.45,-39.72,-4.5,89.47,-67.61,4.67,-13.42867626
"1z6s",7,151,0,5,0,20,66,67,2,5,14,1,2,0,3,10,-108.32,5.6,-13.55,-5.76,-6.67,93.92,-30.63,4.82,-5.995931582
"1z71",5,148,0,48,19,0,26,60,2,1,51,0,0,0,0,6,-208.95,7.63,-1.35,-54.67,-3.38,196.33,-63.58,13.21,-12.68263869
"1z9g",6,85,0,4,0,38,28,21,1,2,13,0,0,1,1,6,145.79,1.92,-3.94,-19.53,-0.18,-91.44,-34.12,3.31,-7.791947955
"1zdp",6,88,0,3,0,46,23,22,1,3,17,1,0,1,1,7,187.06,4.35,-4.75,-19.84,-0.83,-122.77,-31.26,6.45,-7.93010306
"1zgi",1,109,0,31,20,0,22,37,1,1,32,0,1,0,0,6,-33.13,1.89,-0.73,-38.11,-2.18,67.78,-46.35,16.33,-7.377482638
"1zhy",3,52,1,0,5,22,15,12,2,0,25,0,0,0,0,1,-14.34,2.13,-0.53,-78.95,0,45.29,-62.79,2.3,-9.007712884
"1zog",0,48,0,4,1,0,37,6,0,0,15,0,0,0,0,0,-13.65,2.64,-0.25,-60.92,-0.13,10.66,-41.43,2.48,-9.878090049
"1zoh",0,51,0,4,3,0,35,9,0,0,14,0,0,0,0,17,-12.94,1.16,-0.25,-59.47,-0.01,13.66,-46.95,1.43,-9.670857391
"1zp8",7,169,0,24,30,0,53,69,3,1,36,0,0,0,0,19,-0.62,16.46,-3.97,-55.13,0,26.56,-76.4,24.46,-12.11620276
"1zpa",5,163,0,19,33,0,40,76,1,3,32,0,0,0,0,4,-7.56,5.25,-3.31,-57.21,0,30.58,-83.64,13.29,-11.60502887
"220l",0,23,1,0,0,22,0,0,0,0,22,0,0,0,0,7,-2.15,0.01,0,-19.33,-0.19,3.6,-17.52,-0.01,-4.69727359
"2a31",7,98,0,14,42,0,6,43,4,1,5,0,0,0,1,5,-266.25,0.25,-6.06,-13.24,0,255.26,-21.03,0.98,-1.395366566
"2a5b",5,100,0,1,0,0,84,20,3,1,11,0,4,0,0,5,-19.64,4.41,-1.48,-16.8,-4.01,22.85,-37.48,8.68,-5.429495649
"2a5c",5,89,0,3,0,0,68,23,1,2,15,0,0,1,0,5,-38.42,1.75,-2.43,-19.26,-1.89,17.57,-34.85,1.65,-6.382765878
"2a8g",8,105,0,0,0,0,100,13,1,2,9,0,0,3,0,4,-16.03,2.5,-1.44,-15.98,-1.62,22.65,-34.48,3.21,-5.097923396
"2aac",6,97,0,0,11,0,88,4,2,3,17,0,0,0,0,5,-27.29,-1.34,-3.45,-23.4,0,23.01,-24.12,4.91,-3.067043344
"2ada",9,149,0,5,7,24,18,104,4,4,23,1,1,0,0,3,-24.02,-0.22,-4.06,-19.59,-5.55,33.37,-48.27,5.29,-17.96016373
"2afw",5,79,0,0,16,0,12,56,2,2,9,0,0,0,0,2,-22.1,3.73,-1.27,-11.15,-1.5,36.22,-23.6,3.96,-6.589998536
"2afx",1,50,0,0,3,0,5,43,0,1,15,0,0,1,0,3,-4.26,1.29,-0.23,-14.31,-0.58,42.64,-22.37,1.9,-7.114987937
"2aj8",2,109,5,1,0,38,0,67,1,1,36,0,2,1,2,14,-16.9,1.69,-1.41,-28.9,-5.16,36.97,-47.77,5.59,-8.565616546
