"Complex","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"10gs",-59.11801925,2.562390847,-4.35386064,-30.00416264,-1.440105497,52.59434027,-50.02749905,8.503744806,-8.841926757
"1a08",-220.816725,1.979754568,-12.45550945,-20.94996842,-0.145194398,208.1126085,-40.57699319,3.300778043,-7.764316934
"1a1b",-186.7003415,2.620250097,-12.31351345,-20.63794306,-0.605640225,179.0571407,-43.18796614,3.554819164,-8.841926757
"1a30",-57.40392777,10.46421224,-3.041919967,-29.54229284,0,63.267071,-49.86817297,17.26833743,-5.94066954
"1a69",-57.07282821,4.126258419,-3.214567636,-24.08516693,-0.19724341,39.84214048,-35.10844187,5.72669569,-7.322220596
"1ai5",3.350868887,1.84210857,-3.58093228,-16.84657429,-0.567241679,7.142225901,-31.8899956,1.512948939,-5.139369928
"1ajp",-10.42303,7.657078206,-3.13454144,-27.86102937,0,19.76558402,-13.64390711,7.304197715,-3.080858854
"1ajq",-23.30501339,0.372090575,-4.040833703,-24.93428313,-0.333936993,31.01242689,-24.03169824,0.53362109,-5.95448505
"1apw",-44.75345999,2.63497698,-3.619085999,-45.44227795,0,40.0496277,-63.82036647,12.02035896,-11.05240845
"1avn",-15.22041713,-2.530826233,-0.282909845,-2.18360728,-0.99213178,22.66902225,-10.93905731,-2.382883891,-5.388049118
"1b39",-125.293779,1.85800318,-15.02488038,-14.52211268,-0.093218291,154.0468584,-43.31832614,8.07070322,-9.560333306
"1b7h",-119.1232058,-0.40273143,-9.650280247,-48.33808538,0,197.6325212,-57.55199004,10.39815799,-11.08003947
"1b8o",-135.256479,3.735409568,-5.306686969,-26.25897429,-0.679309125,106.9671796,-38.70414526,11.39433668,-14.69970323
"1b9j",-114.1772778,1.346352338,-7.149448807,-14.78260252,0,170.4575091,-56.30854322,5.715185454,-8.234044293
"1bcu",4.089168597,2.820229898,-5.49351763,-18.16611169,0,70.43511912,-33.59352264,2.535724716,-4.531487463
"1bma",-66.44533604,3.305164816,-0.785181394,-36.70090447,-2.079855169,87.51685879,-51.60123373,14.136013,-6.341319346
"1bra",-280.3301509,2.578994139,-3.692057933,-12.27902312,-0.11886486,283.2153871,-24.72299019,2.841762493,-2.514422922
"1bxo",-24.75717942,4.589636513,-5.745895368,-54.36933383,-0.008831369,12.49012747,-89.06157574,7.303839204,-13.81551056
"1d09",-195.9718722,3.012079536,-18.20753872,-9.854850235,0,202.2648593,-28.59239416,7.078082971,-10.45834149
"1d7j",-8.054368337,1.673817169,-0.54402998,-13.88253932,0,4.103321658,-16.03776857,1.246090257,-4.559118484
"1det",34.21991718,0.370630966,-6.887641899,-5.207989968,-3.309513953,-39.24584761,-27.78452275,1.616960578,-5.94066954
"1dhi",-66.79350796,-1.873862533,-13.91616024,-24.68349391,-1.047648708,64.18939544,-50.58004404,4.332750629,-10.03006067
"1e1v",0.25631271,2.153221983,-1.510558713,-23.112957,-0.101009649,16.46495043,-39.89185495,2.402405864,-6.797231195
"1e5a",-3.594871167,0.579677115,-0.281804598,-14.79908003,0,6.32026516,-12.44614552,0.700780483,-10.55505007
"1e66",-9.322860613,3.682769011,-1.170508966,-55.7758269,-9.482088796,69.8165637,-52.67246063,4.291585849,-13.66353994
"1ela",-64.90836023,-0.613196417,-1.346578914,-30.86805038,-0.269470909,63.2925271,-45.23018405,7.986700365,-8.786664715
"1f4e",71.7215246,7.16790817,-1.637708333,-22.7895977,-2.744116066,-47.21121103,-30.37545452,7.85405185,-4.089391125
"1f4f",103.514054,3.77655571,-7.236572278,-27.15487972,-0.509302812,-73.18661323,-50.34034824,5.268662268,-6.382765878
"1f4g",-5.075973218,5.999774216,-11.03431771,-31.66241027,-0.797703581,-1.934696746,-59.37234535,10.80200028,-8.952450842
"1f5k",-216.5297152,2.632755514,-7.652747762,-10.93560861,0,211.7666404,-23.39150628,3.85165863,-5.167000949
"1fcx",-33.63523666,2.778075369,-4.389554765,-79.957604,-1.801642755,37.08996683,-65.49484005,5.681612901,-9.933352091
"1fcz",-36.23802533,2.307063378,-4.71851558,-76.78030144,-1.409480728,33.80019777,-63.81935723,2.928781941,-12.73790073
"1fd0",-39.07393564,3.459078152,-4.824090198,-74.2400134,-1.810129998,39.3700236,-65.16980227,6.360243536,-11.60502887
"1fh7",-120.1507261,1.804810041,-5.170245726,-22.10681245,0,91.40834835,-22.48054665,9.942748982,-7.239327532
"1fh8",-116.3831367,0.524469591,-4.621357913,-21.35777323,0,107.1833326,-28.16581102,7.260519272,-9.518886774
"1fh9",-169.5915836,4.378723377,-5.954342556,-19.82583329,0,116.3569984,-21.27146541,10.7843109,-8.883373289
"1fkb",-54.85489785,4.385692973,-2.802906275,-54.34350272,0,45.55769984,-66.9106989,10.36150513,-13.40104524
"1fki",-20.23532104,-2.804530646,-0.618261851,-39.64639103,0,16.71092089,-44.63177664,4.956986096,-9.670857391
"1fkn",-70.299878,3.240663241,-11.5829364,-49.18292803,-0.000254789,46.77707617,-73.88700221,42.04935243,-12.15764929
"1flr",-3.954769935,3.11665894,-2.205423893,-31.75464263,-7.91019712,34.13958678,-42.29953165,4.356533055,-13.81551056
"1ftm",-54.72877114,3.587183132,-5.96328996,-19.69843599,-0.092018074,21.13854621,-27.67171249,5.246486337,-10.51360353
"1fzj",-191.6732942,5.734767717,-11.40976589,-59.88966879,-2.092121116,118.0729779,-93.4238312,15.04560357,-11.19056355
"1fzk",-142.7659379,8.051420985,-7.113684772,-53.64418392,-3.743082598,104.3271929,-86.39018414,32.96399368,-11.60502887
"1g7f",-66.47456173,3.530254595,-12.31400616,-25.2037251,-0.495141583,158.43307,-44.08607909,15.15690937,-7.557084275
"1g7q",-28.64417019,9.170861344,-7.6408684,-38.54590153,-0.11046794,73.68469209,-70.0254855,24.48186908,-8.372199398
"1gni",143.3069222,5.228699746,-4.997882494,-69.43397464,0,-130.0260749,-40.20887878,13.44793007,-11.15
"1gpk",-23.9215797,1.667820805,-0.985030845,-38.82751403,-0.14130593,61.17659573,-42.94042348,2.603019109,-7.41892917
"1h23",-35.48411414,6.69659227,-1.390735094,-68.60701468,-2.215626396,104.3572202,-72.05043736,15.72785417,-11.53595132
"1ha2",-31.95962411,4.673622812,-0.939900051,-36.41317836,-0.516891237,42.76078844,-43.01922641,3.383582176,-7.65
"1hfs",48.8364576,4.000784482,-3.917612142,-68.00056755,-5.272417891,5.7024446,-85.51012756,11.25112282,-12.01949419
"1hi4",-203.8969985,7.510755476,-13.35365944,-8.750836576,-7.569426262,204.2585005,-33.03275725,7.674218199,-6.203164241
"1hk4",66.55123418,1.954829784,-1.17222128,-35.4448306,-1.196660608,-45.03152523,-49.19947579,4.204314686,-7.34
"1if7",-2.737799768,6.042268216,-2.788133717,-27.5475629,-0.86350062,0.427877631,-36.89810602,5.665182424,-14.53391711
"1is0",-256.6887027,3.041076745,-12.98897638,-24.16014695,-0.286017077,266.4754369,-47.41020141,14.14911277,-9.670857391
"1j16",-326.3463319,1.166638914,-7.110534528,-12.78664189,-0.181525321,326.4741793,-26.33406691,1.661476515,-5.305156054
"1j17",-88.71352852,-1.147194387,-0.53651338,-43.52371022,-0.69286036,135.2122372,-54.42234799,14.60414084,-7.211696511
"1jaq",-53.12415042,3.663462953,-3.655717921,-17.36410777,0,49.12429299,-39.16430704,7.662118864,-6.18934873
"1jq9",-101.8071599,7.968810175,-3.772772746,-32.94426441,0,146.624804,-39.67420102,30.74285926,-11.67410642
"1jqd",-18.3696944,2.74381799,-5.495764602,-24.06765845,-0.010442379,5.430395671,-51.30015154,13.10234061,-7.128803448
"1jys",-12.21374323,1.704486362,-1.162281799,-3.78498965,-0.476890176,14.51071228,-22.69642832,1.158272044,-4.863059716
"1k9s",-49.99238851,3.536654231,-4.192473501,-28.04391678,-0.386428741,52.05348989,-38.33698676,3.498282792,-9.007712884
"1kv1",-17.59271418,1.759950107,-2.16692491,-44.62018052,-0.025190634,22.97554338,-51.87606812,1.267684621,-8.206413271
"1kv5",-164.7052235,1.780212887,-13.25511025,-4.0635559,0,169.1439144,-14.20259219,1.412282392,-5.830145455
"1l2s",-22.71431495,6.113206885,-4.549300075,-19.15713642,-0.89572036,18.10331157,-30.72634031,9.430139429,-6.341319346
"1lol",-27.11928456,3.047325555,-13.28160695,-10.63188603,-1.5e-05,19.48018501,-27.61752963,5.829620179,-8.828111247
"1loq",-16.4100071,5.347098313,-9.156962082,-13.3735004,0,12.21337651,-26.59949998,8.147020883,-5.111738906
"1m0n",-122.6018426,8.545520442,-14.35185031,-19.22726493,-0.136482913,155.2036708,-39.37118885,9.52201759,-3.067043344
"1m0q",-86.01321538,4.491393508,-15.64731737,-15.88032192,-0.09466858,115.0522944,-30.92755176,4.785282841,-5.374233607
"1m2q",-3.040225286,0.472573519,-1.781481993,-27.34036874,-0.105822012,8.639883682,-28.78361369,3.493196283,-8.42746144
"1mq6",-60.58630515,2.226226029,-0.798491396,-60.21138119,-2.199489325,88.44071643,-73.31558636,4.950229708,-15.40429427
"1n2v",-57.00599949,5.473641883,-3.139251179,-16.98178935,0,34.5052368,-24.98404559,6.370345691,-5.636728308
"1nc1",-25.66370456,3.938839633,-6.554542113,-45.61258165,-1.123344156,26.41410703,-27.43050975,11.30548738,-8.455092461
"1ndw",-45.3574384,2.021154945,-4.960854882,-27.3309917,-2.205763768,33.6854791,-30.72010851,6.123184385,-7.225512022
"1ndy",-41.77761429,3.131579666,-3.981806319,-34.32285772,-1.433274947,43.58378569,-45.20704969,4.585680872,-8.524170014
"1ndz",-70.41618561,1.836337519,-5.020907869,-41.89258697,-2.452066625,61.08937601,-48.49157234,21.17288455,-11.20437906
"1nfy",-206.9595859,1.531216083,-2.18629914,-37.39425343,-0.843049278,244.1671,-57.47451782,13.64345461,-12.28198889
"1nhu",-96.83683931,4.425267135,-1.734696495,-48.44786948,-0.732581618,94.56747478,-37.90884506,5.938829794,-7.819578976
"1nja",-13.7453365,6.448032143,-8.339945721,-9.951031066,-0.068002076,8.143338935,-29.41760853,6.671462759,-8.717587162
"1nje",-10.84325178,-2.541002983,-8.399330965,-7.970286844,-9.1e-09,18.5740443,-30.85864202,0.944503404,-5.249894012
"1nny",-103.9116469,1.112278202,-11.52629792,-33.71988587,-1.277816538,139.6483238,-61.46213421,25.51048603,-10.58268109
"1nvq",-108.1544761,1.840116536,-1.690161788,-40.68384811,-1.31e-09,104.0244062,-61.0673018,3.99779647,-11.39779621
"1o0h",-156.1878744,12.78437473,-21.25109128,-8.256629776,-5.498913034,119.5954531,-19.6581296,16.46702612,-8.17878225
"1o3f",-220.8365744,2.837864496,-2.972929788,-22.32778554,-0.926341053,276.2878505,-35.75107761,6.929356571,-10.9971464
"1o3p",-241.6059334,6.092956215,-2.667535167,-25.03135545,-0.197630562,286.51962,-41.17293596,9.642737723,-9.201130032
"1olu",17.55237029,-0.477089393,-6.057735093,-23.35241983,0,-48.80637024,-35.91719652,-0.637412982,-6.092640156
"1om1",-16.46178022,3.398982846,-3.102673764,-38.9271946,-0.625412023,37.99605424,-41.82508239,6.895536653,-9.353100648
"1p1q",-47.39203282,1.477499688,-5.740655917,-18.66747647,-0.095150235,20.12816509,-21.90174312,3.395602234,-6.755784663
"1pb9",-41.074499,1.783278766,-3.184256052,-10.83161481,0,20.9398568,-13.14868876,1.741065278,-5.001214822
"1pbq",-24.65888067,3.48253476,-9.266465357,-27.71180719,-6.433405629,23.04681923,-33.55798212,4.262432474,-8.66232512
"1ppm",-4.941938937,5.756236148,-4.317973744,-46.33420396,-0.31638946,13.43491291,-74.13792491,9.21908742,-8.012996124
"1pr5",-27.47769711,2.058834012,-6.427813681,-19.7791989,-0.288276772,51.38587345,-33.86292753,4.780114249,-5.415680139
"1q7a",-8.472882906,8.841885749,-0.919287554,-30.10746533,-1.255906167,36.39424858,-34.96179435,10.19413143,-9.933352091
"1q8t",-37.07493012,4.46177498,-1.185418534,-31.06329065,-3.56e-07,33.88930075,-36.44958627,4.034326723,-6.576183026
"1re8",-87.86230403,4.53207366,-3.759120192,-43.60979087,-0.128732345,57.562141,-74.40208078,8.67453825,-13.15236605
"1rnt",-5.445270422,3.221211768,-12.89853417,-6.205746294,-0.973641273,9.087211534,-31.91351517,3.956361096,-7.17024998
"1s39",-22.23621018,0.65169726,-7.076662968,-15.01870067,-5.218344243,29.69064775,-28.18812242,0.926812656,-10.63794313
"1sl3",-106.2375857,2.020176532,-2.17822799,-52.13736287,-2.122295705,122.8395692,-68.03352327,10.62598703,-16.37138001
"1slg",-41.83920099,-3.696506845,-1.711445075,-26.5147807,0.13062333,23.48945283,-30.59514619,18.22162421,-5.388049118
"1sqa",-295.0134296,10.19715247,-8.728302867,-24.15882262,-0.189132155,321.268932,-53.88553393,11.51449521,-12.72408522
"1sv3",120.4661952,0.596569702,-0.919250115,-10.44661127,0,-94.6852545,-17.18182977,0.691644936,-6.548552004
"1syh",-52.46729336,0.374564928,-5.442972939,-26.89617352,-0.001954231,16.79690056,-36.4485832,2.681142292,-8.717587162
"1tmn",-38.64068289,10.51695629,-3.21386537,-39.8918064,0,93.76250104,-39.99884473,20.21055269,-10.08532271
"1trd",-93.73033811,2.90159473,-9.50533902,-3.66952432,0,94.29099284,-22.73757984,2.836556213,-7.460375701
"1tsy",-4.925329057,4.852711458,-6.791014831,-9.928824186,-0.00769884,-7.803650601,-28.96579898,5.950789912,-6.852493237
"1ttm",-5.409729574,1.692882057,-2.090370467,-18.99223723,-0.002203624,0.025568983,-32.6541539,2.012204908,-10.15440026
"1u1b",-61.53089893,7.761402419,-7.817308089,-15.64403657,-5.567070203,100.9449831,-63.83430943,9.306969162,-10.77609824
"1u2y",-39.33100853,2.787572389,-2.788357728,-10.08672813,0,37.08603365,-18.34432301,1.604314621,-2.403898837
"1u33",-66.46346788,4.440081963,-6.574723678,-38.74175253,0,99.92622007,-45.02068101,15.83730147,-6.355134857
"1utp",-104.111276,-0.481555468,-1.090047222,-20.5915843,-0.929323767,141.4684852,-27.17350933,-0.182990583,-1.98943352
"1uwt",-27.1735209,5.96313092,-3.255925487,-17.23649639,0,35.41977633,-25.43994152,14.42662133,-8.247859803
"1v16",-31.59933977,8.958837941,-13.49242362,-28.11230292,0,78.77112028,-32.55761935,8.050167435,-5.346602586
"1v2o",-316.6937102,4.97512101,-7.963108726,-22.59285953,-0.031978803,322.0683262,-40.83116632,13.87319509,-6.534736494
"1vfn",-38.59868227,0.417869653,-1.977927052,-3.08790924,-0.226684816,25.2966424,-20.87754674,0.321004359,-7.736685912
"1vzq",-189.2317793,8.841165341,-9.122261232,-35.74150417,-0.151178193,178.6032877,-57.20056642,10.84499095,-10.27873986
"1x1z",-36.52199098,6.207823935,-14.02396713,-12.32684609,0,33.72450452,-22.68777081,10.46110597,-15.27995468
"1xd1",-42.92520108,1.273511258,-6.557995335,-59.78435066,0,79.6706447,-77.29988629,27.91602079,-10.94188436
"1xgj",-26.0978896,3.028167576,-5.271998067,-12.87816195,-0.035404407,37.597819,-35.36752617,5.691904618,-8.289306335
"1y1m",-29.1457771,2.018943489,-4.077998419,-17.45539288,0,12.80483181,-14.45730709,2.603179175,-2.514422922
"1y6q",-126.9429809,2.633605379,-6.41424498,-53.09487267,-1.567918819,122.809799,-53.95934632,5.37877629,-16.16414735
"1ydt",16.39297086,4.695374482,-0.932375807,-43.02921766,-5.48e-07,7.537731877,-54.9164507,8.975568236,-10.11295373
"1zc9",1.690556468,4.075868158,-6.515182032,-14.01081747,-0.147752765,3.071581757,-24.64756756,4.850160093,-4.4485944
"1zoe",-5.106711287,7.595202491,-0.24330011,-55.34706553,-5e-09,17.63805229,-41.24096074,7.044917676,-10.22347781
"1zs0",117.7859135,2.657706799,-3.888885427,-33.04596089,-2.717855369,-64.3399233,-52.24368156,6.779997125,-8.496538993
"1zvx",110.2025449,9.974938213,-4.65306764,-35.38453062,-3.067363738,-66.21588771,-45.21513241,12.90946142,-12.73790073
"2aou",-10.45904323,5.216686882,-0.777795479,-47.48817026,-5.966331137,65.95896897,-45.41938137,10.16451953,-10.67938966
"2aov",-5.747820264,-0.005586054,-3.206910651,-29.56762245,-1.682013886,28.62929188,-38.60963651,1.000847004,-9.726119433
"2ayr",-12.86004321,3.107881917,-2.175614833,-74.39026703,-1.434109118,20.6683937,-66.09990056,10.03638432,-12.83460931
"2azr",-114.5039929,2.3802418,-10.29033208,-21.01415698,-0.997974183,113.5321853,-28.9085245,2.472865676,-5.028845843
"2b1v",-16.04149576,3.317449659,-1.751457493,-59.28945969,-0.273143394,19.75672615,-40.40330401,3.250795815,-7.93010306
"2b7d",-103.6436489,2.048182697,-10.88961412,-19.98094232,-0.757750289,133.1700272,-35.95758104,14.5216902,-12.01949419
"2bak",-14.34650907,4.84900563,-2.297074578,-72.44713449,-0.927619297,42.61302266,-91.00048393,3.609608151,-10.26492434
"2bok",-335.0031732,8.377614317,-7.695472191,-41.93355398,0,327.1826782,-60.16174814,10.35827833,-9.049159415
"2brb",-20.11710578,0.780326754,-1.573399907,-30.62542982,-2.5e-09,25.85926037,-41.70364593,4.854833939,-6.714338131
"2brm",-30.89253698,0.117147725,-1.609249095,-25.71951006,-5.57e-09,34.72023003,-41.5631148,3.73083355,-8.137335719
"2bz6",-110.7857351,2.834969497,-11.82655952,-31.01860601,-0.063557006,136.8321836,-60.04649234,8.509118589,-9.795196986
"2bzz",-240.0287565,7.606956125,-22.75229012,-10.81370343,-10.31071948,228.5175092,-47.75040586,30.77963716,-8.883373289
"2c02",-122.8324922,8.105454824,-11.26244356,-9.766486304,-4.938476664,132.4423824,-33.52273275,14.76180711,-5.581466265
"2ceq",-44.77207273,0.874337091,-3.04349051,-19.63620793,-1.556316276,30.26504214,-22.52192242,12.54288059,-10.05769169
"2cer",-51.63602103,1.430215545,-4.602865445,-30.52769529,-1.411830478,56.97028333,-35.51047925,13.15213397,-12.73790073
"2cet",-26.43822073,5.605445988,-4.419482231,-29.33051743,-2.812566783,62.05701468,-33.58676316,17.94804836,-11.08003947
"2cgr",-19.46729337,7.263671083,-7.056794826,-29.03488825,-2.860511961,13.43415804,-53.49043454,6.441955269,-10.05769169
"2ctc",-8.840209675,2.228874291,-10.59789787,-18.8941134,-0.39539096,21.73328643,-20.02809367,3.595626356,-5.374233607
"2d0k",-15.6735555,2.287202661,-12.28035753,-19.17109861,-1.854121627,33.84877843,-44.39858456,9.483690374,-6.9353863
"2d1o",-182.839727,4.261934805,-4.609833025,-51.84355339,-4.66e-07,186.1914251,-58.76664246,10.57488996,-10.63794313
"2d3u",-61.07976989,0.878164229,-2.333087724,-37.52194958,-4.109338827,68.55937231,-49.06806946,5.204938586,-9.560333306
"2d3z",-70.44143651,-1.421993083,-3.797781466,-40.75946019,-3.918293291,71.38916173,-37.79393816,3.999566962,-9.17349901
"2drc",-52.58433842,-2.404269321,-12.1922756,-25.34641113,-1.09403796,37.99271979,-38.35474565,4.636573562,-13.66353994
"2er9",-75.82866916,12.23660469,-4.827873799,-55.60474903,-0.095831235,88.65476811,-83.80983577,66.89068943,-10.22347781
"2f01",-56.23021465,0.682816319,-5.225055248,-41.10719536,0,43.37884944,-37.22123345,0.758389782,-17.96016373
"2f80",-24.96280095,4.908285193,-3.672296345,-57.2185236,-3.07e-07,8.72588719,-61.76805354,7.297267715,-11.30108764
"2fai",-16.58803418,3.001720456,-1.956593759,-57.89444311,-0.453119016,18.44142469,-40.81289119,3.246900487,-8.620878588
"2fdp",-91.00137776,4.676059692,-3.646789877,-58.80647499,-0.563127217,80.19810896,-76.55258822,7.444340818,-10.48597251
"2flb",-176.9269864,8.371672655,-3.249348009,-16.00844772,-1.239408444,207.7221263,-37.91963897,14.16359388,-7.93010306
"2g5u",-10.78897752,4.467300743,-0.228113707,-23.64241581,0,6.290646491,-18.74076511,4.065920772,-11.72936846
"2g8r",24.29882911,21.90246228,-3.405353095,-9.856004964,-9.4e-05,-5.896894448,-33.7549712,21.39826956,-5.512388713
"2g94",-95.31569186,4.39250988,-4.347830922,-61.16056022,0,62.78550007,-86.10760296,25.66602106,-13.15236605
"2gss",-23.14050441,2.907706809,-3.381094576,-30.48514287,-2.419894757,23.79048922,-27.78944948,2.790054066,-6.824862216
"2h3e",-147.5352642,5.048909719,-16.1307717,-10.28677992,0,137.0348789,-17.53032932,11.43731738,-7.874841018
"2hdq",-60.43428273,0.523099874,-10.46652814,-9.9062086,-2.832436433,62.77200656,-13.59780201,0.281624596,-1.934171478
"2i0d",-10.69793602,8.015245892,-3.144585492,-53.25216098,-0.640948224,8.923455466,-76.2810313,9.660979038,-16.71676778
"2j77",-28.00108418,-0.545962185,-3.377400176,-19.51541334,0,51.58126608,-18.72464357,8.471183604,-6.755784663
"2j78",-42.74689338,1.41351997,-4.389806745,-16.97908289,0,35.32768244,-20.80002856,5.626641782,-8.869557778
"2qwb",66.51716169,6.054781038,-14.49907044,-12.02075201,0,-32.24762567,-27.00574809,15.18820322,-3.785449893
"2qwd",118.0604637,0.477417853,-14.3684884,-12.54441438,0,-42.23603312,-23.75794494,11.59136603,-6.700522621
"2qwe",-70.16957052,7.289097176,-8.852096035,-13.43736134,0,116.8815581,-15.18880075,26.91872628,-10.3340019
"2rkm",-149.3500102,2.583182929,-5.755320383,0,0,141.922561,-44.80329233,4.032735067,-5.388049118
"2std",-16.94389345,1.633747936,-0.485190075,-63.86504673,-0.969108355,10.53333064,-46.90742387,1.887080184,-13.6082779
"2usn",-40.31436324,4.455626766,-1.980997683,-25.77509782,-1.474250902,45.56483011,-43.87667581,7.443180562,-8.993897373
"3gss",-49.52141113,-3.798163818,-7.352202488,-36.55430157,-2.832436433,43.28694861,-43.76979553,16.31428072,-8.040627145
"3pce",-43.614856,1.635287888,-2.602236556,-18.18974239,-0.52286788,51.41137794,-12.08508109,1.798298961,-2.763102112
"3pch",-57.09218916,1.758850847,-2.20780494,-23.12346325,-0.465864398,53.9533471,-13.82415675,0.833658568,-7.460375701
"3pcj",-76.24956798,3.553580725,-3.334615643,-12.35163614,-1.390978565,93.12380028,-6.683476439,6.521667287,-9.974798623
"4er2",-74.17722853,8.161978517,-4.280169059,-57.11410426,0,66.75775521,-73.40777461,18.38579267,-12.84842482
"4tim",-112.1813499,3.161664986,-9.72737679,-8.41399106,0,136.0984432,-15.96844229,3.768926515,-2.984150281
"4tln",-34.51231226,2.800039434,-2.938579346,-15.95437562,0,44.69707016,-21.46285107,3.173311067,-5.139369928
"4tmn",140.1520461,13.81236028,-5.980175912,-39.85780843,-3.012697481,-60.00861824,-57.87033889,15.12967018,-14.05037424
"5er1",-21.84704699,8.629371634,-2.139222386,-48.14269223,0,22.05254723,-43.22492793,25.34093539,-8.316937356
"6rnt",-45.041,2.837,-14.824,-3.733,-6.156,33.524,-20.542,6.33,-3.274276002
"6std",-8.16134956,2.164086411,-0.412585423,-63.37453183,-1.480919393,3.952274934,-52.85907532,3.646664677,-11.93660112
"7cpa",-69.76860189,3.890137485,-13.97969055,-38.80603954,-1.184201287,106.3894005,-57.08016614,11.42242421,-19.28645274
"8cpa",-19.56707527,0.905567058,-13.01325321,-24.7304365,-3.630829123,93.16871078,-46.75997556,9.355606672,-12.64119
