PDB,VINA,GlideSP,GlideXP,DSX,RFScore,MMGbsa,HPS,HMS,HSS,XAvg 
1gni,-7.13315,-5.29,-12.09,-139.292,-8.97564729542,-110.4349258,-9.767565964,-9.40836269,-8.468907972,-9.214945542
1ha2,-9.38686,-7.25,-7.15,-105.23,-9.97128972969,-71.17260086,-9.339285137,-9.822828007,-8.855742268,-9.339285137
1hk4,-7.87449,-8.13,-9.33,-82.346,-7.64408810232,-84.99145162,-8.386014909,-10.5964966,-9.311654116,-9.422178201
1nhu,-6.60796,-5.46,-8,-97.095,-10.1703478329,-86.36278418,-8.42746144,-10.22347781,-8.040627145,-8.897188799
2d3u,-8.67459,-8.77,-10.97,-109.121,-9.48805354823,-92.18780801,-9.380731669,-9.947167602,-8.689956141,-9.339285137
2d3z,-8.80834,-9.8,-11.29,-109.742,-9.29205069604,-95.25388661,-9.201130032,-9.726119433,-8.731402673,-9.214945542
1ai5,-7.01979,-9.83,-10.49,-65.688,-7.22653405623,-49.75134837,-7.764316934,-7.819578976,-7.239327532,-7.612346317
1ajp,-6.35536,-8.23,-4.34,-72.225,-7.5716432225,-59.60168734,-7.529453254,-7.211696511,-7.17024998,-7.308405085
1ajq,-5.06761,-8,-5.83,-57.659,-8.77664588051,-53.17460553,-6.949201811,-6.990648342,-6.755784663,-6.893939768
1e66,-12.13013,-7.57,-7.25,-116.394,-9.27974800034,-67.70744524,-10.0715072,-9.836643517,-9.919536581,-9.933352091
1gpk,-9.91459,-9.47,-8.64,-102.917,-8.91854222913,-62.06016302,-8.717587162,-8.468907972,-9.076790437,-8.759033694
1h23,-10.0317,-12.69,-14.03,-202.267,-10.1770209505,-117.3787258,-11.37016519,-11.32871866,-10.48597251,-11.06622396
1b7h,-7.9995,-10.28,-14.5,-209.712,-9.64846322209,-72.15374524,-10.16821577,-10.48597251,-10.18203128,-10.27873986
1b9j,-8.117,-10.93,-15.3,-180.199,-9.80742563786,-72.61261704,-9.767565964,-10.22347781,-9.670857391,-9.89190556
2rkm,-6.03311,-5.42,-11.43,-108.449,-10.1160645355,-53.73483852,-7.957734081,-7.626161828,-7.653792849,-7.750501423
1u2y,-5.18957,-5.26,-6.6,-40.198,-6.78845967456,-37.37196036,-6.368950367,-6.672891599,-6.230795262,-6.424212409
1u33,-7.8457,-6.96,-11.85,-127.441,-7.55982481198,-70.0279914,-8.551801035,-8.772849204,-8.234044293,-8.524170014
1xd1,-8.65829,-9.72,-19.03,-213.25,-7.84791306563,-130.9693671,-10.3340019,-10.55505007,-9.781381475,-10.22347781
1uwt,-6.18,-7.03,-10.38,-76.467,-7.10771833588,-45.4071576,-7.18406549,-7.598530807,-7.101172427,-7.294589575
2ceq,-6.47563,-8.58,-11.8,-75.358,-7.59720892643,-77.31951165,-7.488006722,-8.040627145,-7.460375701,-7.66760836
2cer,-8.71577,-9.89,-14.26,-117.309,-9.79535166618,-84.19771015,-8.759033694,-9.284023095,-8.869557778,-8.966266352
2qwb,-6.10585,-6.96,-6.74,-67.278,-6.93765417098,-41.64962147,-7.142618958,-7.322220596,-7.377482638,-7.280774064
2qwd,-6.45173,-6.85,-6.99,-78.389,-6.65030011772,-11.67304889,-7.266958553,-7.515637744,-7.501822233,-7.43274468
2qwe,-7.16546,-6.69,-8.88,-76.899,-8.45320970537,-18.04713327,-7.639977339,-8.068258166,-7.612346317,-7.778132444
2cet,-8.04194,-8.99,-12.93,-108.949,-9.76675453349,-51.56435498,-8.551801035,-9.325469627,-8.510354504,-8.800480225
2j77,-6.20214,-7.33,-8.68,-73.29,-7.37845794473,-42.26084956,-7.128803448,-7.66760836,-7.101172427,-7.294589575
2j78,-6.4858,-6.66,-9.46,-77.42,-7.11402307983,-53.50499487,-7.197881001,-7.626161828,-7.101172427,-7.308405085
1m0n,-5.88435,-8.12,-7.34,-97.234,-7.46329676075,-59.10589476,-8.247859803,-8.441276951,-8.551801035,-8.41364593
1m0q,-5.74194,-7.73,-7.72,-96.041,-7.08154239122,-45.46372673,-7.557084275,-7.861025507,-7.584715296,-7.66760836
1zc9,-5.32021,-6.82,-6.47,-64.122,-6.67235209284,-41.80122147,-6.907755279,-6.976832832,-6.9353863,-6.9353863
1fkn,-8.47772,-14.73,-14.09,-234.36,-10.7589420171,-153.1090926,-11.28727213,-12.2958044,-11.89515459,-11.82607704
2fdp,-11.22908,-14.78,-17.26,-234.626,-10.9701313455,-168.9674132,-11.93660112,-12.94513339,-12.18528031,-12.35106644
2g94,-10.18772,-14.95,-14.75,-253.143,-9.98701064106,-197.4474505,-11.770815,-12.80697829,-12.65500767,-12.40632848
1ols,-6.83242,-8.01,-11.03,-77.282,-7.98412861431,-68.41142348,-7.294589575,-7.68142387,-7.308405085,-7.43274468
1olu,-6.09553,-7.62,-8.86,-74.412,-7.42113005721,-90.71124931,-7.114987937,-7.557084275,-7.004463853,-7.225512022
1v16,-5.65209,-6.06,-7.96,-78.707,-7.62056642561,-43.72885145,-7.598530807,-8.068258166,-7.695239381,-7.791947955
1k4g,-8.88702,-10.45,-10.57,-110.021,-8.60209929624,-77.77808972,-8.330752866,-8.703771652,-7.93010306,-8.316937356
1n2v,-7.54523,-9.45,-8.67,-83.106,-6.75900841273,-64.24977085,-7.557084275,-7.902472039,-7.750501423,-7.736685912
1s39,-7.08933,-9.58,-8.95,-70.376,-6.80726230181,-51.81216362,-7.41892917,-8.012996124,-7.294589575,-7.570899786
1kv1,-9.49377,-9.46,-9.83,-128.216,-10.123415162,-97.41024703,-9.546517796,-10.51360353,-9.822828007,-9.960983112
2baj,-11.53659,-10.72,-11.15,-153.538,-10.5595401072,-121.2015707,-10.69320517,-11.68792193,-11.41161172,-11.2596411
2bak,-12.63945,-12.63,-13.1,-231.71,-9.29138034645,-150.8512563,-12.33725093,-12.79316278,-11.70173744,-12.28198889
1ndw,-7.22302,-8.05,-8.49,-81.083,-9.10748978049,-69.46352704,-8.607063078,-8.745218183,-7.847209997,-8.399830419
1ndy,-7.30388,-9.16,-9.81,-90.265,-10.6368857556,-75.81478258,-8.91100431,-9.767565964,-8.399830419,-9.035343905
1ndz,-10.86651,-10.84,-11.62,-160.597,-9.48367339695,-100.9247128,-10.81754477,-11.14911702,-10.3340019,-10.76228272
1l2s,-7.00296,-8.09,-6.26,-75.661,-8.28384680086,-53.98893236,-7.584715296,-8.537985525,-7.764316934,-7.957734081
1xgj,-6.96125,-7.49,-6.04,-70.385,-8.17568148457,-51.02266992,-7.529453254,-7.93010306,-7.557084275,-7.66760836
2hdq,-4.40153,-7.41,-6.56,-43.941,-6.30419656685,-42.52500568,-6.451843431,-6.92157079,-6.451843431,-6.603814047
1q8t,-7.38045,-8.07,-8.42,-93.92,-9.75696778799,-70.50105618,-8.330752866,-8.330752866,-8.510354504,-8.386014909
1re8,-12.42246,-13.76,-16.76,-175.368,-9.16448525139,-132.2680996,-11.78463051,-11.95041663,-11.35634968,-11.68792193
1ydt,-9.88257,-10.54,-12.29,-144.929,-11.1767260167,-106.930951,-10.09913822,-10.18203128,-9.836643517,-10.04387618
1fzj,-10.1737,-17.31,-20.36,-241.819,-8.09853258658,-202.5233749,-13.20762809,-13.8707726,-12.18528031,-13.0832885
1fzk,-10.96841,-15.61,-18.67,-247.569,-8.17724910595,-172.792651,-13.27670565,-13.81551056,-13.17999707,-13.41486075
1g7q,-8.82199,-10.64,-14.1,-181.075,-8.01297406822,-123.0694615,-9.933352091,-10.61031211,-10.22347781,-10.26492434
1m2q,-9.20386,-7.7,-7.15,-74.761,-8.17070831781,-67.17662077,-8.441276951,-8.841926757,-8.095889187,-8.455092461
1om1,-10.53008,-10.36,-9.64,-101.844,-10.0499265446,-74.83475288,-9.601779838,-9.850459028,-8.731402673,-9.394547179
1zoe,-5.83721,-5.42,-5.35,-51.271,-9.05009702812,-87.61689814,-7.308405085,-8.703771652,-7.736685912,-7.91628755
1g7f,-6.25887,-7.25,-9.9,-148.686,-8.25938443886,-84.33729124,-8.634694099,-9.049159415,-8.386014909,-8.689956141
1nny,-10.84708,-14.09,-19.68,-230.973,-9.36476340571,-131.8692907,-11.6464754,-12.48922154,-11.66029091,-11.92278561
2azr,-6.50895,-8.28,-13.14,-85.377,-6.98816022895,-73.23192289,-7.750501423,-8.275490824,-7.488006722,-7.833394486
2er9,-8.92761,-15.58,-11.25,-268.834,-10.2179811356,-148.2352873,-12.15764929,-13.51156933,-12.4339595,-12.6964542
4er2,-7.56183,-12.36,-14.14,-196.624,-10.4207039236,-158.3258753,-10.40307945,-12.0333097,-10.77609824,-11.06622396
5er1,-6.73207,-9.49,-8.93,-165.328,-9.78194135424,-129.1123164,-9.201130032,-10.23729332,-9.670857391,-9.698488412
1apw,-8.46231,-11.12,-12.49,-177.353,-10.426799049,-135.9697548,-9.560333306,-10.87280681,-10.16821577,-10.19584679
1bxo,-11.87348,-14.52,-9.08,-183.232,-9.29839427887,-142.4563801,-11.34253417,-12.59974563,-11.61884438,-11.85370806
1ppm,-8.65787,-11.82,-7.86,-182.61,-8.89546263479,-125.8179653,-10.19584679,-11.52213581,-10.14058475,-10.61031211
1nja,-5.90212,-6.69,-7.09,-80.622,-7.39727338028,-42.71451607,-7.253143043,-7.709054891,-7.211696511,-7.391298149
1nje,-6.43535,-8.08,-10.04,-80.099,-7.55690137273,-59.61644192,-7.363667127,-7.985365103,-7.43274468,-7.584715296
1tsy,-6.68703,-8.92,-11.3,-83.013,-6.81552707843,-65.75036485,-7.294589575,-7.847209997,-7.308405085,-7.474191212
1tmn,-6.33794,-3.89,-6.87,-126.828,-9.73732108236,-34.72344595,-8.593247567,-9.864274538,-8.441276951,-8.966266352
4tln,-5.02869,-3.76,-5.33,-57.341,-7.38245979545,-30.68827197,-6.68670711,-7.142618958,-6.866308747,-6.893939768
4tmn,-8.67913,-6.12,-6.87,-159.642,-8.39279879501,-22.7106899,-10.05769169,-10.96951538,-10.19584679,-10.40307945
1fh7,-7.13129,-8.25,-14.27,-101.078,-7.49768350434,-73.33227918,-7.626161828,-8.137335719,-7.570899786,-7.778132444
1fh8,-7.0902,-7.85,-11.25,-108.16,-7.51974055553,-67.68546622,-7.612346317,-8.151151229,-7.529453254,-7.764316934
1fh9,-8.11814,-6.76,-11.31,-104.385,-6.89849196343,-92.42376007,-7.833394486,-8.316937356,-7.736685912,-7.957734081
1d09,-7.09793,-8.01,-9.87,-81.064,-7.44027072414,-57.41923902,-7.336036106,-7.791947955,-7.336036106,-7.488006722
2fzc,-5.37196,-4.56,-8.73,-59.121,-7.75208401068,-61.86754967,-6.880124258,-7.308405085,-6.68670711,-6.963017321
2h3e,-7.49628,-7.96,-10.53,-96.135,-7.17114382526,-49.45604005,-7.515637744,-8.040627145,-7.557084275,-7.709054891
2ctc,-4.75105,-8.12,-8.73,-68.804,-7.07065472305,-32.98814077,-7.474191212,-7.515637744,-7.294589575,-7.43274468
7cpa,-7.71343,-6.58,-8.13,-162.787,-9.59379947258,-78.76038524,-10.37544843,-11.9089701,-10.22347781,-10.83136028
8cpa,-6.65992,-3.8,-4.59,-133.43,-8.6960654913,-13.59693347,-9.090605947,-10.45834149,-9.132052479,-9.560333306
1b39,-6.5096,-7.32,-14.58,-126.367,-7.48444389708,-47.13090337,-8.551801035,-9.062974926,-8.399830419,-8.67614063
1e1v,-6.48856,-6.99,-7.71,-93.781,-6.83798254286,-50.10096351,-7.584715296,-7.308405085,-7.764316934,-7.557084275
1pxo,-6.08506,-8.89,-9.45,-68.952,-6.44019603114,-64.22331473,-7.391298149,-7.722870402,-7.391298149,-7.501822233
1BCU,-7.34364,-6.47,-4.39,-80.094,-8.5764363275,3.477562335,-7.543268765,-7.639977339,-7.833394486,-7.66760836
1SL3,-10.5618,-11.77,-12.93,-187.62,-10.857190112,-105.9129561,-10.11295373,-10.40307945,-10.19584679,-10.23729332
1VZQ,-10.84226,-10.48,-10.58,-172.523,-11.6453610706,-89.2759997,-9.739934943,-9.947167602,-9.726119433,-9.809012496
1NVQ,-12.53099,-11.42,-12.5,-175.766,-9.61316355549,-112.8146289,-10.78991375,-11.70173744,-10.29255537,-10.92806885
2BRB,-8.14838,-6.93,-8.27,-116.305,-9.7124756703,-78.00285357,-8.883373289,-9.380731669,-8.620878588,-8.966266352
2BRM,-8.47326,-9.09,-9.24,-114.892,-9.96917977795,-83.14392828,-9.007712884,-9.505071264,-8.759033694,-9.090605947
1JQD,-8.46691,-9.9,-12.03,-160.346,-8.27911417212,-90.43748452,-8.537985525,-8.731402673,-8.399830419,-8.565616546
2AOU,-9.6186,-7.93,-5.56,-117.26,-9.90574595443,-62.17095749,-9.850459028,-10.63794313,-9.726119433,-10.0715072
2AOV,-10.23843,-8.95,-7.83,-76.13,-8.68208070785,-74.46402629,-9.062974926,-9.836643517,-8.952450842,-9.284023095
1PB9,-4.90651,-7.91,-9.08,-56.69,-7.81578026302,-52.12711175,-6.493289962,-6.990648342,-6.465658941,-6.645260578
1PBQ,-7.74571,-9.18,-8.09,-78.105,-7.20313832982,-70.26401726,-7.91628755,-8.938635331,-8.054442655,-8.303121845
1Y1M,-5.85725,-7.25,-8.43,-70.723,-7.45793081261,-42.30856716,-7.18406549,-7.778132444,-7.377482638,-7.446560191
1B8O,-8.38505,-10.43,-13.94,-108.13,-10.8568096248,-102.2640103,-8.42746144,-9.090605947,-8.316937356,-8.607063078
1VFN,-5.98293,-8.31,-7.2,-58.091,-6.35812293629,-43.3911589,-6.617629557,-6.990648342,-6.534736494,-6.714338131
1FTM,-7.30018,-8.27,-7.1,-92.433,-8.99603503329,-76.86623861,-7.971549592,-8.344568377,-7.971549592,-8.095889187
1P1Q,-7.30246,-7.94,-9.23,-88.204,-8.767530732,-75.07606865,-7.847209997,-8.234044293,-7.847209997,-7.971549592
1SYH,-9.26436,-10.53,-11.62,-117.035,-8.83194726036,-95.30637952,-8.565616546,-8.993897373,-8.537985525,-8.703771652
1FCX,-15.57873,-16.26,-19.35,-184.697,-11.9265988021,-156.1792262,-13.37341422,-13.98129668,-11.60502887,-12.98657992
1FCZ,-14.60515,-15.73,-18.76,-170.433,-11.3651407512,-153.9307897,-13.06947299,-13.44249177,-11.53595132,-12.68263869
1FD0,-16.03525,-16.39,-19.61,-184.189,-11.2672284296,-151.2103694,-13.69117096,-14.36813098,-11.95041663,-13.33196769
1F4E,-6.5472,-6.64,-4.92,-73.11,-8.65375893812,-37.1671602,-7.639977339,-8.220228782,-7.847209997,-7.902472039
1F4F,-8.32736,-9.02,-7.52,-110.396,-8.39737079785,-64.7228735,-8.786664715,-9.228761053,-8.275490824,-8.759033694
1F4G,-9.07296,-9.51,-9.57,-153.448,-8.34201637867,-93.7506077,-9.40836269,-9.753750454,-8.883373289,-9.339285137
1F5K,-5.20772,-8.99,-7.39,-66.442,-6.45252677204,-41.3245422,-6.852493237,-6.880124258,-7.156434469,-6.963017321
1O3P,-9.0474,-8.83,-8.38,-126.003,-9.11644459554,-13.3961029,-8.703771652,-8.66232512,-9.242576563,-8.869557778
1SQA,-7.41353,-9.07,-9.06,-136.38,-10.418330321,-46.3683178,-8.92481982,-9.132052479,-9.353100648,-9.132052479
2AYR,-12.16862,-13.13,-13.88,-187.922,-10.6321632203,-151.2134178,-12.59974563,-13.05565748,-11.03859294,-12.22672684
2B1V,-9.42003,-10.07,-10.85,-113.004,-11.5266165921,-104.536709,-9.394547179,-9.297838606,-8.620878588,-9.104421458
2FAI,-9.81689,-9.76,-10.03,-121.45,-11.926407863,-109.1197229,-9.574148817,-9.65704188,-8.952450842,-9.394547179
1AVN,-2.68785,-5.86,-3.26,-17.975,-7.89161944575,-20.55480964,-5.650543818,-5.913038519,-5.553835244,-5.70580586
1IF7,-5.32272,-5.53,-5.23,-81.53,-9.415263691,-52.91086414,-7.764316934,-9.1596835,-7.861025507,-8.261675314
1TTM,-6.13409,-5.24,-5.11,-64.038,-8.77490569354,-67.18543773,-7.41892917,-8.66232512,-7.322220596,-7.791947955
1MQ6,-8.96448,-8.16,-6.88,-177.803,-9.89493016218,-92.57842952,-9.670857391,-10.65175864,-9.947167602,-10.08532271
1NFY,-9.6191,-8.81,-9.53,-144.728,-10.9440460288,-67.02650437,-9.781381475,-10.15440026,-9.560333306,-9.836643517
2BOK,-8.39708,-12.12,-15.99,-154.347,-10.0585688086,-90.81513628,-8.869557778,-8.745218183,-9.035343905,-8.883373289
1HFS,-9.94995,-13.63,-13.08,-281.932,-10.9525361973,-114.4236683,-12.87605584,-13.71880198,-12.47540603,-13.02802646
2D1O,-7.10857,-11.68,-15.8,-184.226,-10.141945676,-107.5056883,-9.726119433,-10.11295373,-9.201130032,-9.684672901
2USN,-6.732,-6.8,-6.92,-108.785,-9.80360786842,-62.62356197,-8.358383888,-9.463624732,-8.040627145,-8.620878588
2B7D,-8.64509,-9.14,-10.28,-150.261,-11.1792017646,-47.54325164,-9.491255753,-10.52741905,-9.339285137,-9.781381475
2BZ6,-8.0551,-10.31,-12.54,-147.941,-9.88929636163,-76.0186827,-8.800480225,-8.993897373,-9.007712884,-8.92481982
2FLB,-7.83071,-7.57,-6.31,-109.325,-9.29805791151,-20.7496485,-8.565616546,-8.537985525,-8.952450842,-8.689956141
1LOL,-6.67604,-9.55,-9.42,-88.407,-6.45095256385,-53.12756855,-7.156434469,-7.543268765,-7.018279363,-7.239327532
1LOQ,-7.19066,-10.24,-13.14,-96.257,-6.79560593165,-50.74011678,-8.054442655,-8.717587162,-8.040627145,-8.275490824
1X1Z,-7.40617,-9.52,-12.65,-96.167,-6.8935334941,-52.15031776,-8.17878225,-8.883373289,-8.17878225,-8.41364593
1KV5,-2.92901,-7.87,-6.39,-44.791,-5.54072360683,-23.17131768,-6.479474452,-7.004463853,-6.424212409,-6.631445068
1TRD,-5.06173,-6.81,-6.96,-66.698,-6.99302283387,-45.51001071,-6.824862216,-7.43274468,-6.811046705,-7.018279363
4TIM,-3.88129,-8.05,-7.63,-52.847,-5.75705505855,-24.49344626,-6.755784663,-7.225512022,-6.672891599,-6.880124258
1BRA,-4.06883,-7.78,-6.94,-60.794,-6.28788847305,-36.00079112,-6.755784663,-6.852493237,-7.073541406,-6.893939768
1J16,-5.21943,-7.41,-6.6,-69.288,-6.38194753904,-40.62667487,-7.004463853,-7.004463853,-7.280774064,-7.101172427
1J17,-10.71152,-7.33,-5.11,-166.077,-8.74808253326,-54.44060862,-9.753750454,-9.809012496,-9.753750454,-9.781381475
1O3F,-8.66683,-8.58,-7.71,-114.298,-7.70224045498,-12.00788628,-8.786664715,-8.814295736,-9.104421458,-8.897188799
1UTP,-3.74153,-6.29,-5.88,-67.308,-6.53828861519,-23.95319293,-6.603814047,-6.451843431,-6.963017321,-6.672891599
1V2O,-6.63248,-9.17,-11,-125.161,-9.20984873716,-63.33965751,-8.275490824,-8.67614063,-8.372199398,-8.441276951
1JYS,-4.8367,-6.9,-6.01,-53.044,-6.28019991937,-23.90329426,-6.396581388,-6.68670711,-6.286057304,-6.451843431
1NC1,-9.73782,-10.85,-14.19,-126.114,-9.45201463765,-103.4317509,-8.92481982,-9.007712884,-8.634694099,-8.855742268
1Y6Q,-9.02437,-12.45,-13.72,-120.766,-10.3948245437,-124.0130623,-8.92481982,-8.800480225,-8.386014909,-8.703771652
1BMA,-5.62703,-7.8,-7.96,-146.197,-10.6440165597,-69.37717743,-9.242576563,-10.26492434,-9.601779838,-9.698488412
1ELA,-7.97656,-9.19,-10.29,-155.059,-9.32900423644,-95.25924584,-8.966266352,-10.27873986,-9.049159415,-9.435993711
1ELB,-5.41564,-4.23,-4.26,-101.676,-9.37414687771,-50.7706144,-7.695239381,-9.214945542,-7.957734081,-8.289306335
1A69,-8.67085,-7.83,-7.39,-103.264,-7.45984963736,-75.79691323,-7.943918571,-8.303121845,-7.819578976,-8.026811634
1K9S,-7.74503,-9.69,-9.8,-109.355,-6.97967964287,-68.71206359,-8.040627145,-8.455092461,-7.943918571,-8.151151229
1PR5,-7.32368,-7.52,-5.78,-97.633,-7.3422105172,-42.23614904,-7.847209997,-8.040627145,-7.750501423,-7.888656529
3PCE,-5.03956,-5.69,-5.64,-57.868,-5.97096001487,-35.8965943,-7.087356916,-7.142618958,-7.142618958,-7.128803448
3PCH,-5.43423,-8.96,-8.04,-54.646,-6.76655038992,-51.02221295,-7.377482638,-8.192597761,-7.391298149,-7.653792849
3PCJ,-5.48746,-6.96,-6.87,-46.519,-7.68621401273,-28.10982038,-6.907755279,-7.280774064,-6.645260578,-6.949201811
1FLR,-11.33178,-10.94,-7.07,-118.613,-9.48693747255,-86.09718835,-10.08532271,-11.13530151,-9.615595348,-10.27873986
1PZ5,-6.22445,-11.5,-9.23,-169.142,-10.6097166743,-103.1876988,-8.883373289,-8.634694099,-8.468907972,-8.66232512
2CGR,-8.74892,-7.71,-6.62,-115.136,-9.38163409524,-84.96148968,-9.145867989,-9.712303922,-9.118236968,-9.325469627
10GS,-7.37179,-8.88,-9.85,-135.583,-9.93182191872,-104.4833583,-9.284023095,-10.54123456,-8.869557778,-9.560333306
2GSS,-5.31473,-5.47,-5.4,-63.663,-7.17404360556,-61.43647037,-7.253143043,-8.192597761,-7.211696511,-7.557084275
3GSS,-6.67242,-9.44,-7.64,-134.005,-9.00530516537,-106.9070035,-8.828111247,-9.712303922,-8.455092461,-9.007712884
2STD,-9.82733,-7.92,-9.62,-100.408,-9.48868330526,-112.8773608,-9.505071264,-10.23729332,-9.40836269,-9.712303922
3STD,-12.68896,-11.92,-10.05,-137.294,-9.83561185794,-105.5356381,-12.24054235,-12.4339595,-10.78991375,-11.82607704
6STD,-9.96861,-8.6,-9.9,-108.715,-9.43430315311,-127.5659521,-9.491255753,-10.22347781,-9.463624732,-9.726119433
1JAQ,-6.18182,-6.66,-8.42,-107.804,-7.57691915132,-48.7993609,-7.529453254,-8.441276951,-7.722870402,-7.902472039
1ZS0,-7.01327,-7.64,-7.12,-145.511,-8.80572069857,-45.07861846,-9.021528394,-9.021528394,-8.814295736,-8.952450842
1ZVX,-6.76462,-7.87,-7.36,-154.772,-9.0037226354,-38.4843865,-9.090605947,-9.477440243,-9.021528394,-9.201130032
1DHI,-8.24977,-10.64,-10.84,-120.035,-9.66251654861,-89.25902081,-8.841926757,-9.394547179,-8.386014909,-8.869557778
2D0K,-7.98202,-8.04,-7.36,-120.938,-9.16650821868,-90.2989735,-8.648509609,-9.256392074,-8.16496674,-8.689956141
2DRC,-8.65519,-10.35,-10.72,-130.468,-9.7038029774,-105.5106274,-9.035343905,-9.587964327,-8.579432056,-9.062974926
1DF8,-6.6856,-9.93,-8.83,-103.045,-8.80042215841,-87.02658536,-7.943918571,-8.054442655,-7.598530807,-7.874841018
1SLG,-5.08363,-9.18,-9.54,-109.76,-9.21836432255,-73.72724724,-7.695239381,-8.634694099,-6.976832832,-7.764316934
2F01,-6.77606,-12.69,-14.71,-107.128,-8.8590625264,-105.956253,-8.109704698,-8.386014909,-7.847209997,-8.109704698
1O0H,-6.09239,-7.36,-6.87,-93.428,-6.78365328997,-70.39326378,-7.405113659,-7.791947955,-7.225512022,-7.474191212
1U1B,-8.5394,-10.68,-12.35,-191.585,-8.76997465708,-80.56865234,-9.463624732,-9.809012496,-9.228761053,-9.505071264
2G8R,-5.0748,-4.32,-2.89,-83.339,-7.06349789632,-20.41174295,-6.976832832,-7.045910385,-6.866308747,-6.963017321
1HI4,-6.82675,-8.66,-9.55,-99.291,-7.73980610838,-71.75102108,-7.66760836,-8.082073676,-7.529453254,-7.764316934
2BZZ,-8.05224,-10.32,-14.22,-164.309,-8.92476478866,-99.03988534,-9.256392074,-9.366916158,-8.759033694,-9.132052479
2C02,-6.20367,-7.89,-8.76,-83.688,-7.68711401851,-46.21760402,-7.501822233,-7.805763465,-7.294589575,-7.529453254
1E5A,-2.25156,-2.19,-0.87,-16.733,-4.9220797442,-22.81591296,-5.595281776,-7.225512022,-6.009747093,-6.272241793
1TYR,-4.54842,-3.05,-2.25,-64.602,-6.44619416464,-52.27306824,-7.239327532,-8.123520208,-7.474191212,-7.612346317
2G5U,-3.53042,-3.77,-1.75,-36.173,-5.88117079191,-42.51767218,-6.341319346,-8.537985525,-6.43802792,-7.101172427
1JQ9,-6.29493,-7.4,-6.62,-163.314,-9.01611540647,-61.6199629,-8.841926757,-10.0715072,-8.565616546,-9.1596835
1Q7A,-7.86452,-4.41,-4.28,-108.963,-8.39984242811,-43.30249402,-8.800480225,-9.463624732,-8.91100431,-9.062974926
1SV3,-4.95407,-6.08,-4.63,-56.699,-6.81420402606,-11.86314076,-6.783415684,-7.363667127,-6.631445068,-6.92157079
1A08,-4.22348,-8.27,-10.94,-126.178,-8.96487437617,-79.65297113,-7.66760836,-8.620878588,-7.41892917,-7.902472039
1A1B,-4.66979,-7.96,-11.02,-123.594,-8.75164565464,-78.14699096,-7.819578976,-8.814295736,-7.695239381,-8.109704698
1IS0,-5.39298,-10.31,-12.47,-140.462,-8.27288435207,-96.21854697,-8.772849204,-8.938635331,-8.67614063,-8.786664715
1A30,-6.57445,-9.53,-10.17,-116.025,-8.28574786495,-74.43135839,-8.17878225,-8.344568377,-7.971549592,-8.16496674
2F80,-9.24921,-11.58,-12.15,-192.152,-11.5584598358,-147.9718588,-10.48597251,-11.48068927,-10.3340019,-10.76228272
2I0D,-8.79553,-12.25,-10.78,-208.588,-13.6185778232,-139.6539587,-10.51360353,-11.37016519,-10.41689496,-10.76228272
1D7J,-3.16168,-5.01,-4.68,-36.014,-5.94303648576,-36.46609653,-6.065009135,-5.982116072,-6.009747093,-6.023562603
1FKB,-10.60521,-9.2,-10.55,-170.998,-8.17680347547,-124.3510566,-10.22347781,-13.05565748,-10.14058475,-11.13530151
1FKI,-11.45228,-7.61,-7.23,-114.271,-8.91854027036,-92.70442396,-9.214945542,-10.66557415,-9.118236968,-9.670857391
1DET,-5.94258,-9.33,-10.21,-85.945,-7.84942861905,-43.31456544,-7.17024998,-7.584715296,-7.059725895,-7.266958553
1RNT,-6.98398,-11.62,-14.52,-112.151,-7.65925345849,-64.94944686,-7.91628755,-8.565616546,-7.888656529,-8.123520208
6RNT,-6.0455,-7.01,-7.3,-82.818,-7.31480127182,-51.55364195,-7.114987937,-7.557084275,-7.004463853,-7.225512022
