PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds,Experimental
1e66,-0.224358413,1.389748111,-0.224879964,-55.49285992,-9.814093912,55.1149227,-53.08651443,1.300043979,0,113,0,0,18,25,3,67,0,0,55,0,5,0,0,2,-13.66
10gs,-41.28111928,2.711161767,-3.382407273,-30.39425613,-1.152586029,39.35982073,-43.7872389,8.332012843,11,153,4,13,11,41,22,73,3,6,21,0,0,0,2,14,-8.84
1a08,-200.7171888,4.048839057,-10.62938321,-23.9154994,-0.298243898,197.2132487,-43.68475214,4.183304905,10,129,0,17,4,39,62,17,1,6,17,1,0,0,2,19,-7.76
1a1b,-173.9093578,3.190835869,-11.30563474,-22.85345083,-0.592457509,170.3452731,-42.08440572,3.432211651,9,124,0,16,4,45,52,16,1,6,15,1,0,0,2,19,-8.84
1a30,-57.40392777,10.46421224,-3.041919967,-29.54229284,0,63.267071,-49.86817297,17.26833743,11,126,0,13,27,0,47,50,4,4,10,0,0,0,1,14,-5.94
1a69,-39.50589796,3.268759839,-2.235956588,-22.9661711,-0.196083499,39.66771474,-36.25093919,4.134109152,7,156,0,32,6,20,51,54,4,1,14,0,0,0,0,5,-7.32
1ai5,12.22164629,1.62756777,-1.849011241,-16.69545366,-0.517541791,-0.272538849,-28.98861279,1.286578113,2,61,0,15,0,2,30,16,0,2,13,0,1,0,0,3,-5.14
1ajp,-2.925217198,7.431500836,-2.431454587,-27.56536457,0,11.67679097,-11.70105617,7.986932764,3,96,0,23,0,1,40,35,0,2,36,0,1,1,0,2,-3.08
1ajq,-10.25106469,0.143067265,-2.129594773,-24.89696474,-0.318298226,20.95857267,-23.65987666,0.302214295,5,59,0,17,0,7,30,10,0,2,15,0,1,1,0,2,-5.95
1apw,-38.06418769,3.87587248,-3.136480939,-47.14064623,0,30.41953732,-59.70415427,11.83463766,11,156,0,2,44,0,46,75,4,2,16,0,0,0,0,15,-11.05
1avn,-20.86182267,0.329977887,-0.709817023,-3.66834799,-1.507523523,24.97372117,-11.25245133,0.260650254,2,34,0,0,0,0,22,14,0,2,1,0,0,0,0,3,-5.39
1b39,-107.2915144,2.18342168,-10.18514921,-14.16132258,-0.051407764,136.730574,-52.66648524,5.399782954,15,156,0,16,24,0,53,78,3,6,13,0,0,0,7,11,-9.56
1b7h,-119.1232058,-0.40273143,-9.650280247,-48.33808538,0,197.6325212,-57.55199004,10.39815799,19,231,10,40,13,33,107,47,8,3,20,1,0,0,3,19,-11.08
1b8o,-138.5407018,4.152352298,-5.218948136,-26.25712699,-0.705110538,108.6681066,-37.23596697,12.08192203,14,172,1,34,0,20,50,81,6,3,15,0,0,1,1,5,-14.7
1b9j,-114.1772778,1.346352338,-7.149448807,-14.78260252,0,170.4575091,-56.30854322,5.715185454,18,232,3,42,21,32,98,54,6,5,19,0,0,0,1,18,-8.23
1bcu,3.712629167,2.141689678,-5.1585383,-19.61848421,0,73.07773297,-32.31094624,2.000662656,1,67,0,20,12,0,8,28,1,0,16,0,0,0,0,2,-4.53
1bma,-74.88171449,2.980945236,-0.729117192,-36.67639332,-2.242672406,91.01291142,-48.91377503,14.08164965,4,79,0,22,14,0,9,38,0,1,5,0,0,0,0,11,-6.34
1bra,-285.3219997,3.383641179,-3.476333256,-12.60985263,-0.020479236,285.8714589,-20.69363659,4.881300102,3,95,0,26,29,0,13,30,1,0,9,0,0,0,0,2,-2.51
1bxo,10.45824047,5.020434413,-4.109437532,-55.97432687,-0.001571404,-16.632023,-75.52709774,7.672476797,10,176,0,3,37,0,50,96,4,5,22,0,0,0,0,10,-13.82
1d09,-190.1118001,3.008916796,-17.26062946,-9.947137195,0,198.2863614,-30.94723507,6.699403111,18,165,14,0,15,60,37,57,0,13,5,0,0,0,6,7,-10.46
1d7j,-8.937304527,1.62519888,-0.544598966,-13.94018795,0,3.714479266,-15.56604638,1.237324939,1,33,0,0,3,6,12,13,1,1,9,0,0,0,0,3,-4.56
1det,45.25953084,-0.287379825,-5.595991023,-5.481303559,-3.936657267,-44.47901068,-27.32725115,1.886015842,8,118,0,5,24,0,36,61,4,3,10,0,1,0,0,7,-5.94
1df8,-30.33336344,0.998127456,-3.032540884,-40.36582919,0,34.93030089,-42.31938704,0.81718526,5,104,0,0,11,0,68,30,1,4,22,0,0,0,0,5,-13.4
1dhi,-38.40853198,-2.031362253,-11.15504943,-24.85821402,-1.115248902,37.97269458,-41.13620106,5.127471734,7,129,1,35,0,42,42,16,1,3,18,0,0,0,3,11,-10.03
1e1v,1.71001338,1.785416083,-1.568679192,-23.48671909,-0.292790863,15.63128378,-37.87068195,2.478154727,6,96,0,38,1,0,59,4,2,1,23,0,0,0,0,4,-6.8
1e5a,-2.510039687,0.4202302,-0.250989548,-14.81432116,0,5.284416795,-12.11466392,0.516532797,1,19,0,0,0,0,20,0,0,1,4,0,0,0,0,1,-10.56
1ela,-58.50861922,-0.698098587,-0.868904274,-29.42748015,-0.802957548,58.57143956,-45.19601545,7.50810017,7,117,0,29,22,0,19,54,2,1,13,0,0,0,0,11,-8.79
1elb,-72.61825595,26.07865548,-0.837769218,-44.13364583,-4.53E-08,79.69124939,-22.99356228,39.69385212,11,135,0,32,12,0,23,79,1,1,29,0,0,0,0,14,-9.88
1f4e,67.94405358,6.53516911,-1.987644627,-22.5634176,-0.110485342,-44.31614673,-32.62815638,7.90147806,2,40,0,0,1,18,4,19,0,1,16,0,1,0,1,3,-4.09
1f4f,123.4957602,4.96926306,-3.807734745,-27.91213031,-0.213142504,-93.34493686,-51.2959452,4.063586297,1,79,2,0,7,24,0,47,0,2,27,0,0,1,1,9,-6.38
1f4g,51.41016021,9.838466686,-7.901523076,-31.99504253,-0.802931619,-32.40942853,-57.7136796,11.88429326,5,108,3,6,5,34,30,35,0,6,32,0,0,1,2,12,-8.95
1f5k,-217.0286899,2.676186614,-7.396920553,-10.94987806,0,212.3714437,-22.17954658,3.275672804,5,86,0,6,37,0,7,41,1,0,11,0,0,0,0,2,-5.17
1fcx,-26.66280162,2.671838339,-3.573993642,-79.85620094,-1.840611524,33.01372604,-68.1531699,5.086741692,6,102,22,2,4,57,8,15,0,3,42,0,0,1,1,4,-9.93
1fcz,-25.39034588,2.021696888,-3.913970997,-76.69967439,-1.403715673,27.1335035,-66.77770306,2.557277669,4,90,16,2,4,48,7,17,0,3,40,0,0,1,1,4,-12.74
1fd0,-28.15398094,3.442232842,-3.943751649,-74.15505,-1.868672933,32.19892637,-67.96962698,6.029697439,6,108,24,2,5,60,8,15,0,3,42,0,0,1,1,4,-11.61
1fh7,-103.606699,0.006228801,-4.826456847,-21.58942059,0,90.48956268,-24.43158135,6.41301755,9,180,0,0,0,0,79,110,2,4,16,0,0,0,2,7,-7.24
1fh8,-119.053665,1.093112761,-4.793233535,-21.65013214,0,102.9658029,-25.39927092,6.617783361,11,154,0,0,0,0,57,108,2,3,15,0,0,0,2,6,-9.52
1fh9,-165.067475,4.299546707,-5.663078979,-19.8394147,0,120.6937315,-24.27179811,9.22777422,16,212,0,0,0,0,77,151,3,4,15,0,0,0,2,8,-8.88
1fkb,-32.47440309,3.317406472,-1.765329436,-54.37810964,0,25.3288776,-60.44668016,9.271107425,6,117,0,0,27,13,43,40,3,2,30,0,0,0,0,9,-13.4
1fki,-19.8776216,-2.860077819,-0.614243204,-39.70065987,0,16.14988013,-43.78580519,4.93718598,2,93,0,0,6,11,37,41,0,3,25,0,0,0,0,0,-9.67
1fkn,-26.0061384,2.817329451,-7.689395276,-49.01504956,-3.20E-06,22.43119488,-72.57895281,41.25250565,16,215,0,17,67,0,66,81,4,6,28,0,0,0,1,30,-12.16
1flr,-0.996939535,3.58295534,-1.589338261,-31.85079745,-7.536346687,19.91562111,-44.80752865,4.360325469,5,137,0,2,23,0,59,58,0,1,41,0,6,0,0,3,-13.82
1ftm,-38.47821578,1.560919422,-4.592291334,-19.57112478,-0.056342054,18.83400723,-30.62569229,3.272500953,15,155,2,23,2,50,73,20,2,9,15,0,0,0,2,5,-10.51
1fzj,-97.82075842,2.716641977,-7.617481491,-61.22605834,-2.161504092,99.34086779,-95.0589445,10.1211478,14,312,15,0,0,251,60,0,5,8,50,0,0,1,1,32,-11.19
1fzk,-85.3119644,9.487863255,-4.92412729,-56.69515529,-6.591400633,90.57204189,-93.14752564,29.18308723,14,255,1,0,0,215,53,0,4,9,48,1,2,1,0,25,-11.61
1g7f,-118.1580123,2.647551255,-12.22073361,-29.6932277,-1.091779275,124.5881392,-47.32832983,10.05202853,14,163,5,0,13,40,4,115,2,7,30,0,0,0,3,16,-7.56
1g7q,-23.32235246,3.396900464,-6.236960773,-36.39631439,-0.11551736,43.03199146,-70.4724458,18.53625617,20,318,2,0,0,283,53,0,5,9,36,0,0,0,2,24,-8.37
1gni,152.0887657,2.656299226,-2.819545565,-69.33386428,0,-135.2789526,-41.47085878,11.25664655,1,50,6,0,0,33,0,12,0,2,31,0,0,0,1,15,-11.15
1gpk,-14.5112168,1.932307705,-0.463180037,-39.12743263,-0.163041414,42.67479835,-42.70258448,2.530772865,2,84,0,8,22,4,10,42,0,2,21,0,0,0,0,1,-7.42
1h23,-27.27065664,1.42609227,-0.763134467,-66.60098264,-2.041803365,57.05336295,-72.26655736,8.857012661,3,135,7,9,29,13,11,69,0,2,48,4,2,0,0,15,-11.54
1ha2,-28.94940831,3.478347902,-0.64658832,-36.54006901,-0.46258172,42.72808521,-43.21579141,2.503654484,1,53,7,0,0,47,0,0,1,1,28,0,0,1,0,5,-7.65
1hfs,73.21327231,2.171173476,-1.678946161,-69.40746261,-5.257890123,-18.35318725,-82.88712989,10.67203783,6,176,2,8,47,47,31,47,2,3,50,1,3,2,4,18,-12.02
1hi4,-196.5798465,8.703503791,-10.67085215,-8.605128083,-7.173443131,195.5742935,-36.08090395,8.991103889,10,182,0,6,5,32,64,85,1,7,19,3,2,0,3,8,-6.2
1hk4,66.67759638,1.953724284,-1.171834797,-35.44557841,-1.196674596,-45.15202716,-49.19384579,4.182251267,5,123,13,0,0,115,0,0,3,1,17,0,1,0,5,7,-7.34
1if7,3.454693322,4.140465306,-2.433730472,-27.11627546,-0.876540697,-3.434321339,-36.05889894,4.808772563,6,82,1,0,4,1,44,38,0,1,9,0,0,0,0,7,-14.53
1is0,-286.841116,9.015324493,-12.65666439,-29.72375971,-0.291018794,288.1435332,-46.79028557,16.96364647,11,151,0,13,10,40,67,32,1,8,17,1,0,0,3,19,-9.67
1j16,-316.6415526,1.104862284,-6.38060525,-12.67807674,-0.198525699,317.5922723,-25.62942391,1.550084508,3,99,0,4,46,0,9,43,3,0,14,0,0,0,0,2,-5.31
1j17,-78.91546882,2.319057253,-0.03106546,-46.88152593,-0.996270517,133.9582524,-57.03970029,16.51269987,0,125,0,30,28,0,30,37,0,0,44,0,0,0,0,4,-7.21
1jaq,-46.07789728,5.801600473,-2.874382403,-16.98681695,0,43.23448133,-39.27342427,6.076182265,6,129,1,19,25,49,14,27,2,2,12,0,0,0,1,9,-6.19
1jq9,-101.8071599,7.968810175,-3.772772746,-32.94426441,0,146.624804,-39.67420102,30.74285926,2,43,29,0,0,16,0,0,0,0,6,0,0,0,0,24,-11.67
1jqd,1.213243107,4.12115988,-3.993801642,-22.81121536,-0.001806059,3.824039611,-57.9191889,13.54571229,10,133,3,0,45,27,21,47,4,3,15,0,0,0,1,11,-7.13
1jys,-12.21374323,1.704486362,-1.162281799,-3.78498965,-0.476890176,14.51071228,-22.69642832,1.158272044,3,53,0,6,18,0,7,25,0,1,11,0,0,0,0,1,-4.86
1k9s,-36.63952613,3.376334031,-3.526673377,-27.20924178,-0.455140287,52.34604628,-43.34657094,2.295837598,8,165,0,36,4,25,55,53,4,0,12,0,0,0,0,6,-9.01
1kv1,-15.27353088,1.755493007,-2.156746909,-44.75890064,-0.033914387,21.60774435,-51.87606812,1.205570416,4,63,0,4,9,29,12,13,2,1,14,1,1,0,0,3,-8.21
1kv5,-138.0425911,1.365832277,-9.524463631,-4.06237956,0,143.0706782,-19.80396568,0.876414837,11,93,0,14,17,0,25,48,0,8,3,0,0,0,3,3,-5.83
1l2s,-10.81668565,6.323427835,-2.999167559,-19.24202623,-0.939642128,12.70213517,-32.46849324,9.268313467,7,102,5,29,7,45,6,17,0,4,14,0,0,2,1,4,-6.34
1lol,-1.322786618,3.665467805,-8.462823407,-10.62345663,-3.86E-07,-0.305156959,-30.64083782,5.296567876,14,142,0,15,17,0,50,74,2,8,4,0,0,0,1,6,-8.83
1loq,-16.4100071,5.347098313,-9.156962082,-13.3735004,0,12.21337651,-26.59949998,8.147020883,17,146,0,10,11,0,51,91,2,9,9,0,0,0,1,6,-5.11
1m0n,-96.76146018,9.905163992,-11.64195986,-19.3486075,-0.128098328,132.4738781,-40.12809172,10.63328943,8,147,7,0,15,15,29,89,0,4,20,0,0,0,2,7,-3.07
1m0q,-55.23290348,4.792162488,-11.44003158,-15.75210502,-0.098260656,97.23664064,-38.96531038,4.841600535,9,148,9,0,14,17,30,87,0,6,14,1,0,0,2,7,-5.37
1m2q,-5.853897186,2.230630369,-1.474012805,-26.43167325,-0.119219084,6.357876162,-34.02936954,4.084757188,4,109,0,0,17,1,70,25,0,1,25,0,0,0,0,3,-8.43
1mq6,-55.04392204,2.920667729,-0.396279856,-60.24525338,-2.272237866,79.28814502,-70.94470136,5.173509616,2,163,0,43,21,0,37,64,0,1,40,0,2,2,0,8,-15.4
1n2v,-24.88084989,3.526675383,-2.074536274,-16.89782227,0,24.2505475,-28.79799126,4.288168582,4,85,0,5,6,24,31,23,1,2,18,0,2,0,0,3,-5.64
1nc1,-22.75070296,6.436449113,-6.324913837,-45.8843904,-1.193155228,26.88430128,-40.21350998,9.726446054,6,70,1,3,4,24,20,24,1,1,11,0,0,0,0,6,-8.46
1ndw,-32.2667837,3.820462555,-4.003396446,-26.98016305,-1.973676046,33.02723013,-33.97188697,7.745996247,6,106,0,1,0,13,44,54,3,2,33,1,1,2,0,7,-7.23
1ndy,-40.30872459,5.007508876,-4.390891562,-34.11353257,-1.77744596,36.00665177,-40.85917566,7.678896963,5,114,0,3,13,14,43,46,2,2,38,0,0,0,0,7,-8.52
1ndz,-37.04354181,0.512984319,-4.062677066,-42.09205364,-2.903457119,53.88589238,-56.07398545,19.17690009,8,159,3,5,22,36,9,92,3,2,59,1,1,0,0,11,-11.2
1nfy,-199.3427673,3.002532343,-1.188542722,-38.69762962,-0.943520707,229.5491452,-57.53718282,14.40009552,1,156,0,29,30,0,39,59,0,1,33,0,1,1,0,6,-12.28
1nhu,-97.12754851,4.332325835,-1.740096939,-48.46222344,-0.741927377,94.99106372,-37.04414506,5.865445164,2,57,0,0,10,30,0,19,0,2,16,0,0,0,0,8,-7.82
1nja,-2.942862694,7.754996413,-7.048467139,-10.14051588,-1.452008647,3.168463875,-31.08994236,8.131654811,8,113,1,8,0,0,68,44,1,4,2,0,0,0,2,7,-8.72
1nje,-6.22462327,4.756988687,-7.209454367,-9.444709994,-0.003256134,8.281962967,-26.7275028,5.969133579,10,119,5,11,0,18,41,54,2,6,7,0,0,0,2,7,-5.25
1nny,-128.5660145,-3.389641099,-11.34332103,-31.41445273,-1.532921107,139.7144083,-49.85160821,24.42548935,18,211,17,0,23,81,11,97,4,8,31,0,2,0,3,17,-10.58
1nvq,-98.49218416,0.200922636,-1.581482142,-40.41163122,-6.00E-11,93.7240777,-58.5636598,2.347429133,6,135,0,24,15,0,70,32,2,1,35,0,0,0,1,5,-11.4
1o0h,-110.1381052,3.706022977,-13.42257859,-7.886078793,-6.026130132,113.8491852,-32.3018323,7.318681652,9,161,0,8,0,47,45,70,1,7,12,0,1,0,5,9,-8.18
1o3f,-211.4245671,1.987443966,-2.501581146,-22.69448197,-1.12826225,254.4957039,-32.59874881,5.119600008,10,147,0,6,59,0,6,86,3,0,25,1,0,1,0,5,-11
1o3p,-234.9818144,8.670060035,-2.407138794,-30.21596592,-0.670753875,288.1507418,-39.57370276,12.35320998,9,147,0,26,45,0,26,59,3,0,26,0,0,0,0,6,-9.2
1olu,32.85451279,0.231643527,-4.955811915,-22.98790551,0,-42.17825421,-34.81285588,-1.92395614,13,139,0,11,41,0,23,77,2,7,13,0,0,0,4,12,-6.09
1om1,-17.60777262,3.130497536,-3.044435861,-38.67611313,-0.616896952,34.01430252,-39.74565084,6.116325152,2,83,0,5,8,0,55,17,0,2,37,0,0,0,1,2,-9.35
1p1q,-40.43440778,0.068499168,-4.645995405,-18.42508624,-0.110097761,20.22627685,-25.60650112,2.088005939,13,162,3,27,2,49,72,22,1,7,14,1,0,0,2,5,-6.76
1pb9,-41.81847527,1.747097666,-3.105887166,-10.83015882,0,25.41987792,-12.08293376,1.62764886,15,138,7,19,6,52,52,17,4,7,12,1,0,0,1,1,-5
