PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds
1f8d,-4.243510593,5.298435375,-15.49707865,-16.73412068,0,31.78761981,-33.09450212,7.326042202,7,158,0,0,1,0,88,76,2,6,13,0,0,0,4,9
1igj,-9.995771812,2.090496939,-0.134724905,-60.71892966,0,27.16089192,-46.20967395,4.526727346,0,85,0,0,8,0,50,27,0,0,21,0,0,0,0,7
1jyq,-248.8577514,1.34629913,-23.31383058,-23.81828499,-4.454304122,228.1945173,-44.07227954,11.70484379,20,271,0,39,22,59,84,87,3,16,40,2,1,0,4,20
1lbk,14.08273805,1.902063605,-4.081587357,-13.9788087,0,-18.59012394,-29.69790235,5.851549517,11,143,4,12,5,41,13,79,3,7,7,0,0,0,3,11
1lor,-16.74709657,5.493723518,-9.435736262,-12.75749971,0,14.96018091,-29.19893814,7.664904038,13,160,0,12,11,0,53,97,2,10,8,0,0,0,1,7
1o5b,-183.8028663,1.526086604,-2.152005637,-25.67328366,-0.000173125,179.73691,-30.76161089,2.734740997,3,99,0,5,52,0,3,42,2,0,13,0,0,0,0,2
1os0,64.58852756,3.266131482,-3.575620159,-36.33230647,-3.313784128,-23.09553038,-43.58129574,12.53488152,6,117,1,6,1,42,36,37,2,3,19,1,0,2,6,13
1oyt,-195.576039,3.135855914,-6.756288347,-35.75159229,-0.207669855,206.7496418,-52.85392196,4.978005974,4,124,0,33,28,0,15,52,2,1,24,0,0,0,0,5
1q8u,21.52403863,1.116100578,-0.938448483,-37.6670037,-7.31E-05,-10.54514056,-43.69211476,2.550844916,2,67,0,17,3,0,39,10,0,1,21,0,0,0,1,2
1sln,-98.10068639,4.285510014,-2.097811179,-38.94197986,-1.829476873,116.7791772,-56.65311949,13.99546552,6,139,6,16,36,38,26,23,3,3,34,0,1,0,5,14
1w3l,-32.97790827,1.671678413,-6.628288382,-28.46891967,0,59.64591305,-33.74923484,16.76290817,20,219,0,0,21,0,90,128,5,5,22,2,0,0,2,20
1w4o,-93.15149244,4.331037833,-10.87506451,-5.836448167,-0.00098483,84.58345571,-28.95139054,5.664779989,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6
1xd0,-51.3427067,11.21299361,-5.90957309,-55.88566813,0,101.6890879,-72.38769535,32.46301095,21,241,0,3,25,35,60,139,6,2,19,0,0,0,3,28
2cbj,-23.77264467,3.023671867,-4.095902631,-28.59847742,-1.598330345,45.2149512,-52.18308452,9.982400765,14,151,5,0,14,2,41,103,4,2,20,0,0,0,0,8
2d3u,-55.03372589,0.733085329,-1.613760628,-39.82439852,-3.111275332,57.90922097,-41.43036946,5.122083523,3,74,4,0,15,34,0,24,0,2,33,0,2,0,0,5
2fvd,0.736862981,0.830148341,-1.841706275,-32.82820747,-0.181674766,0.68190383,-54.48694478,2.712558725,3,123,0,9,27,10,52,28,0,2,19,0,0,0,1,7
2hb1,-103.3186067,0.182804909,-8.239694752,-23.1693954,-0.477548218,107.1537718,-31.26876832,0.406170937,5,92,9,0,5,30,4,49,0,6,16,0,0,0,3,4
2iwx,-20.21462309,-0.52546662,-1.577373385,-35.29369576,-0.753060954,20.01504685,-39.45674315,2.493220411,2,73,3,1,0,32,34,5,1,2,12,0,0,0,0,2
2obf,-73.43520536,1.102749835,-1.656322777,-44.88326619,-2.698209836,79.22835751,-48.90814509,14.05014676,3,129,11,0,1,46,32,42,3,0,48,0,1,0,2,5
2pq9,-127.4313018,12.07965144,-39.29077519,-14.10856831,0,138.2474034,-45.21867744,17.62690985,6,58,4,0,2,41,0,17,0,5,0,0,0,0,1,10
2v7a,-29.29078898,0.114556312,-1.225185899,-38.65029804,-0.0018393,30.76636368,-53.8650161,3.145458018,3,100,0,25,20,0,53,5,2,2,27,0,0,0,0,6
2w66,-75.5384719,3.410591854,-4.552897965,-23.95900867,0,74.04918319,-29.69242191,11.77523047,10,164,0,0,11,0,71,92,6,1,24,0,0,0,2,6
2wbg,-59.24076762,9.573474285,-3.098301851,-33.28775012,0,51.05849179,-30.1276823,12.91622353,12,192,0,0,0,0,100,104,3,4,43,0,0,0,0,11
2weg,9.447229216,1.575719303,-2.125550534,-9.79938817,-0.694778002,-20.13696493,-20.78224253,1.556156357,6,80,0,0,11,0,35,40,0,1,5,0,0,0,0,2
2x8z,408.3489573,2.770870076,-5.09839445,-15.82273616,0,-338.8477729,-25.1085746,3.436215091,8,83,0,1,0,42,0,48,0,5,11,0,0,0,3,3
2xb8,-55.28840023,2.015024735,-6.050188819,-36.05112669,-0.449758639,42.72103847,-36.6627072,3.912808241,11,153,0,3,32,0,35,94,2,7,34,0,1,0,1,7
2y5h,-143.7909994,4.961328769,-0.275490161,-56.13277364,-0.50269146,171.5928949,-61.29528967,6.274921578,1,104,0,26,15,0,23,41,0,1,29,4,0,0,0,6
2yki,-38.47332887,2.257915225,-1.499918959,-54.2046467,-5.22458946,31.25557995,-63.08323255,7.363475288,4,137,22,0,0,50,56,13,0,0,48,0,2,2,0,3
2ymd,-167.4863524,3.552364237,-1.14561135,-35.12474287,-0.177876023,191.2366184,-26.75240441,4.005358428,8,130,0,20,23,0,31,64,3,1,18,3,0,0,0,4
2zcr,103.7728359,7.762504505,-6.485516236,-49.09187702,-0.293914281,-51.20466585,-52.04387761,8.923713094,4,102,6,0,0,86,0,14,0,4,31,0,0,0,7,10
2zjw,-17.70246719,3.606595549,-0.732960339,-31.19026207,-1.065701092,19.20540175,-38.63677973,4.676901393,3,94,0,0,10,2,61,24,1,1,22,0,0,0,0,4
2zx6,-106.810578,4.430178818,-5.116672719,-31.06736272,-5.471196308,84.88310345,-38.15551523,22.51343537,14,185,0,0,4,17,88,90,5,3,23,1,0,0,2,7
3b3s,-0.866559965,-1.266906908,-2.664321203,-17.51098273,0,38.25388685,-24.31619334,-0.321058986,3,59,0,0,12,0,14,36,1,1,9,0,0,0,0,4
3bfu,-31.87589201,1.180824031,-4.297028653,-23.45784969,-0.207857272,17.3186497,-33.01546423,1.47000555,13,159,3,24,2,55,67,21,2,7,15,1,0,0,2,4
3bpc,-91.15449243,0.217150002,-12.21601561,-12.25439769,0,94.93149846,-24.73486935,10.74140218,13,125,0,0,15,0,75,48,3,7,9,0,0,0,2,15
3cft,-12.97461918,3.669778894,-2.115352537,-11.68467551,0,11.90767117,-15.79308539,3.328823213,1,24,0,1,0,0,24,0,0,0,7,0,0,0,1,2
3cyx,2.977558717,3.561532774,-3.511468531,-78.69287897,-0.097276488,14.17343165,-87.53538865,8.023757407,9,185,0,28,59,0,48,59,3,2,33,0,0,0,2,14
3d4z,-18.10791048,1.578772655,-4.316621413,-17.2655298,-3.159392883,4.813464431,-17.80638996,6.937178446,9,144,0,0,11,6,5,131,8,1,17,0,1,0,0,5
3ebp,2.034240287,2.87913521,-0.311840983,-36.56075785,-7.691752097,5.046958035,-43.42567894,4.289099855,0,95,6,0,7,23,0,59,0,0,52,0,4,0,0,5
3ehy,71.85327528,2.814747272,-0.620474563,-20.36073725,-1.234231818,-53.63517912,-35.98894934,3.499821829,2,72,4,7,12,34,7,10,0,2,16,1,1,0,4,5
3f3e,-10.70612843,0.909615749,-1.42402425,-24.36865233,0,30.10965222,-25.30239786,1.52977399,5,125,51,0,16,44,0,19,3,2,11,0,0,0,0,4
3fv1,-27.99591162,0.897531177,-6.464719112,-37.05628485,0,5.030215089,-33.57704311,6.476566601,16,222,12,22,0,78,102,24,4,6,28,0,0,0,4,7
3g0w,-24.90279038,1.141145309,-0.592071555,-62.69907573,-0.619087409,20.5873037,-50.58343611,5.56678138,2,90,11,0,1,69,0,11,1,0,21,0,0,1,0,3
3g2z,-18.83251928,1.905667867,-1.263559517,-7.99718882,-1.69E-08,12.18774582,-27.2418758,1.207446233,3,70,0,17,0,11,34,11,1,5,4,0,0,0,0,1
3gcs,-16.72817033,-0.406268746,-2.40491208,-48.19701158,-0.66393705,19.77362024,-57.18865649,2.023547377,4,126,0,16,14,39,34,27,2,2,35,1,0,1,0,6
3ge7,-27.11980675,4.623009341,-9.283510284,-41.0657276,-4.560147196,49.34517662,-55.45029688,5.133963382,10,200,0,9,33,48,83,37,5,1,42,0,3,0,2,7
3gy4,-201.1018573,2.620663535,-7.914463577,-12.02072759,-0.107597156,202.8134001,-24.29230909,3.64476074,6,107,0,5,47,0,9,52,4,0,11,0,0,0,0,3
3i3b,-21.0445805,2.629976856,-2.993468013,-15.86091247,0,59.51085737,-14.05293227,6.200701494,10,140,0,0,0,0,62,88,3,2,18,0,0,0,0,5
3imc,-2.529348982,0.662835979,-0.239468219,-18.38093264,-1.558100479,5.892615819,-28.93472333,0.995755432,1,59,11,8,5,8,9,19,0,1,19,1,0,0,0,1
3jvs,-14.26013985,2.211997266,-0.595001011,-31.31072413,-0.166669476,7.483149024,-38.938757,8.799348093,2,109,0,0,54,1,0,56,2,0,36,0,0,0,0,5
3myg,-20.61405877,0.786453121,-2.678740333,-36.18953479,-0.175159342,25.04032537,-50.12291458,5.275544082,4,126,0,18,17,12,68,15,1,1,26,0,0,0,0,9
3nox,-108.980354,2.21079286,-2.230374919,-37.97201912,-2.678102555,115.5213365,-42.48477268,2.445260387,6,143,2,0,0,46,4,97,2,0,13,1,1,1,2,4
3nw9,-32.79692605,5.445924122,-3.983983565,-49.17449015,-1.607544857,46.00192041,-68.98900641,12.39112431,17,234,0,6,34,14,29,168,3,4,44,0,0,4,0,10
3su3,-14.85663052,1.814777703,-1.700108311,-56.32390762,-1.497551544,8.49625103,-71.7697894,19.8714215,6,161,0,28,27,0,50,62,3,2,40,0,0,0,0,7
3u9q,15.7480491,3.707646691,-2.986494984,-42.14406654,0,-7.78746489,-34.95961053,4.187824656,4,56,3,0,1,51,0,5,0,5,15,0,0,0,2,8
3udh,-106.0818448,2.122112513,-2.259689925,-20.73279615,-0.746247787,94.44129383,-26.15358978,2.285509327,4,82,0,0,19,0,49,18,3,0,20,0,0,0,2,0
3uex,97.85432357,3.397803372,-2.235646146,-75.78955165,0,-70.19803503,-44.26615107,4.062734855,0,35,0,0,1,0,31,3,0,1,25,0,0,0,1,16
3zsx,-41.06061195,-0.095237774,-3.389423937,-28.40183329,-0.197379141,42.2605628,-42.99386028,7.841898142,6,103,5,0,37,40,0,27,1,5,20,0,0,0,1,10
